# epoch 0  H=7.9971 C=8.0032 HO=-0.0034  A(t)=0
         1  ..Q........r.Q.,  fffa510183ccb3bfb98fb072ce519e2c
         1  ..>....J......$R  fff83e01a2d7e74ae50fc318c6a32452
         1  ......p.K.T%...`  fff7c29698c8701f4b1154251e85df60
         1  .....(....9.....  fff78ce28628c6e4d48b39b4e7fb9408
# epoch 1050  H=7.9787 C=8.0026 HO=-0.0218  A(t)=0
         1  ..R[.^].1v.T~...  ffff525b945e5dff3176b6547e1b1004
         1  ....r....F....a.  ffff16977203c399a346b80fd11a61b5
         1  ....,~.TPI...Q..  fffecb082c7efe545049c417ea5119b4
         1  ..i.........._>.  fffe690780d3d9a6c2eceabdf05f3ecb
         1  ......Q..y......  fffdee8b031951d69479d6a3870fd796
         1  ...._se.)E.;...z  fffcd6b25f7365972945fe3b2e13b17a
         1  ..Q........r.Q.,  fffa510183ccb3bfb98fb072ce519e2c
         1  ..>....J......$R  fff83e01a2d7e74ae50fc318c6a32452
         1  ......p.K.T%...`  fff7c29698c8701f4b1154251e85df60
         1  .....(....9.....  fff78ce28628c6e4d48b39b4e7fb9408
# epoch 1100  H=7.9786 C=8.0026 HO=-0.0219  A(t)=0
         1  ..R[.^].1v.T~...  ffff525b945e5dff3176b6547e1b1004
         1  ....r....F....a.  ffff16977203c399a346b80fd11a61b5
         1  ....,~.TPI...Q..  fffecb082c7efe545049c417ea5119b4
         1  ..i.........._>.  fffe690780d3d9a6c2eceabdf05f3ecb
         1  ......Q..y......  fffdee8b031951d69479d6a3870fd796
         1  ...._se.)E.;...z  fffcd6b25f7365972945fe3b2e13b17a
         1  ..Q........r.Q.,  fffa510183ccb3bfb98fb072ce519e2c
         1  ...L..._."....K.  fff8e74cdb2ee45f1d22a8a8b8864bc1
         1  ..>....J......$R  fff83e01a2d7e74ae50fc318c6a32452
         1  .....(....9.....  fff78ce28628c6e4d48b39b4e7fb9408
# epoch 1150  H=7.9790 C=8.0032 HO=-0.0215  A(t)=0
         1  ..R[.^].1v.T~...  ffff525b945e5dff3176b6547e1b1004
         1  ....r....F....a.  ffff16977203c399a346b80fd11a61b5
         1  ....,~.TPI...Q..  fffecb082c7efe545049c417ea5119b4
         1  ..i.........._>.  fffe690780d3d9a6c2eceabdf05f3ecb
         1  ......Q..y......  fffdee8b031951d69479d6a3870fd796
         1  ...._.e.)E.;...z  fffcd6b25f1265972945fe3b2e13b17a
         1  ..Q........r.Q.,  fffa510183ccb3bfb98fb072ce519e2c
         1  ...L..._."....K.  fff8e74cdb2ee45f1d22a8a8b8864bc1
         1  ..>....J......$R  fff83e01a2d7e74ae50fc318c6a32452
         1  .....(....9.....  fff78ce28628c6e4d48b39b4e7fb9408
# epoch 1200  H=7.9790 C=8.0021 HO=-0.0215  A(t)=0
         1  ..R[..].1v.T~...  ffff525b94ca5dff3176b6547e1b1004
         1  ....r....F....a.  ffff16977203c399a346b80fd11a61b5
         1  ....,~.TPI...Q..  fffecb082c7e80545049c417ea5119b4
         1  ..i.........._>.  fffe690780d3d9a6c2eceabdf05f3ecb
         1  ......Q..y......  fffdee8b031951d69479d6a3870fd796
         1  ...._.e.)E.;...z  fffcd6b25f1265972945fe3b2e13b17a
         1  ..Q........r.Q.,  fffa510183ccb3bfb98fb072ce519e2c
         1  ...L..._."....K.  fff8e74cdb2ee45f1d22a8a8b8864bc1
         1  ..>....J......$R  fff83ecea2d7e74ae50fc318c6a32452
         1  .....(....9.....  fff78ce28628c6e4d48b39b4e7fb9408
# epoch 1250  H=7.9795 C=8.0032 HO=-0.0210  A(t)=0
         1  ..R[..].1v.T~...  ffff525b94ca5dff3176b6547e1b1004
         1  ....r....F....a.  ffff16977203c399a346b80fd11a61b5
         1  ....,~.TPI...Q..  fffecb082c7e80545049c417ea5119b4
         1  ..i.........._>.  fffe690780d3d9a6c2eceabdf05f3ecb
         1  ......Q..y......  fffdee8b031951d69479d6a3870fd796
         1  ...._.e.)E.;...z  fffcd6b25f1265972945fe3b2e13b17a
         1  ..Q........r.Q.,  fffa510183ccb3bfb98fb072ce519e2c
         1  ...L..._."....K.  fff8e74cdb2ee45f1d22a8a8b8864bc1
         1  ..>....J......$R  fff83ecea2d7e74ae50fc318c6a32452
         1  .....(....9.....  fff78ce28628c6e4978b39b4e7fb9408
# epoch 1300  H=7.9788 C=8.0032 HO=-0.0217  A(t)=0
         1  ..R[..].1v.T~...  ffff525b94ca5dff3176b6547e1b1004
         1  ....r....F....a.  ffff16977203c399a346b80fd11a61b5
         1  ....,~.TPI...Q..  fffecb082c7e80545049c417ea5119b4
         1  ..i.........._>.  fffe690780d3d9a6c2eceabdf05f3ecb
         1  ......Q..y......  fffdee8b031951d69479d6a3870fd796
