# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
       166  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       157  ................  f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4
       151  ................  ffffffffffffffffffffffffffffffff
       127  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       124  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
# epoch 4500  H=7.7742 C=7.5377 HO=0.1683  A(t)=309
       868  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       627  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       456  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       223  ////////////////  2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f
       180  ................  ffffffffffffffffffffffffffffffff
       154  ................  01010101010101010101010101010101
       127  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       121  ................  fcfcfcfcfcfcfcfcfcfcfcfcfcfcfcfc
       105  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       103  ................  03030303030303030303030303030303
# epoch 4750  H=7.7753 C=7.5431 HO=0.1622  A(t)=309
       750  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       591  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       433  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       303  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       170  ))))))))))))))))  29292929292929292929292929292929
       149  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       142  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       142  ................  01010101010101010101010101010101
       119  ................  03030303030303030303030303030303
       107  ................  0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e
# epoch 5000  H=7.7730 C=7.5466 HO=0.1581  A(t)=309
      1137  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       599  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       395  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       183  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       178  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       125  ................  81818181818181818181818181818181
       106  ................  dfdfdfdfdfdfdfdfdfdfdfdfdfdfdfdf
       106  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
       106  9999999999999999  39393939393939393939393939393939
       106  ................  01010101010101010101010101010101
# epoch 5250  H=7.7694 C=7.5392 HO=0.1652  A(t)=309
       617  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       433  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       345  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       340  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       160  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       133  ................  02020202020202020202020202020202
       132  ((((((((((((((((  28282828282828282828282828282828
       131  ................  ffffffffffffffffffffffffffffffff
       124  0000000000000000  30303030303030303030303030303030
       114  ................  f1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f1
# epoch 5500  H=7.7631 C=7.5227 HO=0.1726  A(t)=309
       783  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       527  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       520  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       193  ................  01010101010101010101010101010101
       142  3333333333333333  33333333333333333333333333333333
       139  ////////////////  2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f
       137  ................  fdfdfdfdfdfdfdfdfdfdfdfdfdfdfdfd
       134  ................  06060606060606060606060606060606
       132  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       126  ................  84848484848484848484848484848484
# epoch 5750  H=7.7621 C=7.5297 HO=0.1637  A(t)=309
       835  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       762  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       471  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       205  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       161  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
