epoch,wall_s,sim_s,entropy_bits,zlib_bits,high_order_entropy,mean_steps,frac_copy_runs,frac_term_budget,frac_term_off_region,frac_term_unmatched,runs,steps,mutations,distinct_windows,n_persistent,A_t
25000,30.339,27.704,7.516983,7.25061,0.266373,538.734,0.876299,0.051533,0.853438,0.095029,102400,55166362,3138,57085,9,148
25200,30.57,27.914,7.537279,7.271362,0.265916,577.0694,0.884805,0.056387,0.849492,0.094121,102400,59091909,3184,57249,10,148
25400,30.807,28.127,7.516562,7.255371,0.261191,570.2372,0.883633,0.055625,0.848389,0.095986,102400,58392290,3157,57152,11,149
25600,31.034,28.334,7.467044,7.229858,0.237185,569.6912,0.887764,0.055527,0.853301,0.091172,102400,58336379,3166,57230,12,150
25800,31.293,28.574,7.417006,7.217529,0.199477,549.6079,0.886885,0.052822,0.852979,0.094199,102400,56279853,3160,57347,12,151
26000,31.511,28.773,7.434811,7.246826,0.187985,505.885,0.866826,0.047842,0.837246,0.114912,102400,51802629,3111,57473,9,151
26200,31.723,28.965,7.446592,7.224243,0.222349,514.9409,0.845156,0.049512,0.790195,0.160293,102400,52729951,3190,57233,6,151
26400,31.936,29.159,7.466056,7.21167,0.254386,528.1811,0.831475,0.051436,0.762666,0.185898,102400,54085743,3145,56968,6,152
26600,32.15,29.353,7.475544,7.149658,0.325885,546.3511,0.830107,0.053916,0.744307,0.201777,102400,55946350,3124,56718,6,152
26800,32.366,29.548,7.472662,7.144653,0.328009,541.2122,0.818867,0.053584,0.722324,0.224092,102400,55420127,3154,56552,6,152
27000,32.631,29.793,7.426854,7.083374,0.34348,569.2841,0.845273,0.056484,0.752451,0.191064,102400,58294694,3206,56642,10,153
27200,32.854,29.996,7.409237,7.023315,0.385921,579.0182,0.860469,0.057461,0.781885,0.160654,102400,59291467,3106,56218,12,154
27400,33.075,30.194,7.422034,7.097168,0.324866,539.9981,0.845781,0.052783,0.777197,0.17002,102400,55295805,3038,56835,12,155
27600,33.283,30.382,7.443098,7.172852,0.270247,500.7599,0.835703,0.048232,0.760986,0.190781,102400,51277809,3031,57158,11,155
27800,33.492,30.572,7.420277,7.095825,0.324452,506.7202,0.818594,0.049014,0.743975,0.207012,102400,51888149,3069,56744,6,155
28000,33.707,30.767,7.460928,7.118164,0.342764,537.8913,0.83292,0.052695,0.763428,0.183877,102400,55080068,3207,56787,6,155
28200,33.915,30.955,7.484798,7.169189,0.315609,519.3802,0.82623,0.050615,0.754727,0.194658,102400,53184529,3203,57054,6,156
28400,34.114,31.134,7.493402,7.042847,0.450555,473.7337,0.813096,0.045127,0.727852,0.227021,102400,48510333,3264,55942,6,156
28600,34.31,31.311,7.449739,7.03833,0.411409,462.361,0.822324,0.043545,0.743691,0.212764,102400,47345768,3109,56316,8,158
28800,34.502,31.483,7.430624,7.015747,0.414877,437.5951,0.824492,0.040664,0.733174,0.226162,102400,44809738,3131,56344,9,158
29000,34.695,31.656,7.456067,7.053711,0.402356,405.8285,0.834951,0.036758,0.742432,0.220811,102400,41556843,3101,56588,9,158
