# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
      9884  @.....+9./.,..[>  4080fcfc8ffe2b398f2ffe2cffff5b3e
      9544  .,..[>}.B44,,.:.  fe2cffff5b3e7dfc4234342c2cf83aec
      9515  ..+9./.,..[>}.B4  8ffe2b398f2ffe2cffff5b3e7dfc4234
      9407  ...+9./.,..[>}.B  fc8ffe2b398f2ffe2cffff5b3e7dfc42
      9114  .+9./.,..[>}.B44  fe2b398f2ffe2cffff5b3e7dfc423434
      9113  ....+9./.,..[>}.  fcfc8ffe2b398f2ffe2cffff5b3e7dfc
      9112  ,..[>}.B44,,.:..  2cffff5b3e7dfc4234342c2cf83aec9b
      9078  [>}.B44,,.:..]].  5b3e7dfc4234342c2cf83aec9b5d5dff
# epoch 4500  H=6.5632 C=1.1304 HO=6.0434  A(t)=307
      4750  .....+9./.,..[>}  80fcfc8ffe2b398f2ffe2cffff5b3e7d
      4490  .[>}.B44,,.:..]]  ff5b3e7dfc4234342c2cf83aec9b5d5d
      4458  ....+9./.,..[>}.  fcfc8ffe2b398f2ffe2cffff5b3e7dfc
      4321  ...+9./.,..[>}.B  fc8ffe2b398f2ffe2cffff5b3e7dfc42
      4310  .+9./.,..[>}.B44  fe2b398f2ffe2cffff5b3e7dfc423434
      4263  @.....+9./.,..[>  4080fcfc8ffe2b398f2ffe2cffff5b3e
      4254  [>}.B44,,.:..]].  5b3e7dfc4234342c2cf83aec9b5d5dff
      4077  ..+9./.,..[>}.B4  8ffe2b398f2ffe2cffff5b3e7dfc4234
      3944  9./.,..[>}.B44,,  398f2ffe2cffff5b3e7dfc4234342c2c
      3863  +9./.,..[>}.B44,  2b398f2ffe2cffff5b3e7dfc4234342c
# epoch 4750  H=6.6644 C=1.1503 HO=6.1448  A(t)=307
      3063  .....+9./.,..[>}  80fcfc8ffe2b398f2ffe2cffff5b3e7d
      2795  ....+9./.,..[>}.  fcfc8ffe2b398f2ffe2cffff5b3e7dfc
      2787  @.....+9./.,..[>  4080fcfc8ffe2b398f2ffe2cffff5b3e
      2057  ...+9./.,..[>}.B  fc8ffe2b398f2ffe2cffff5b3e7dfc42
      1984  +9./.,..[>}.B44,  2b398f2ffe2cffff5b3e7dfc4234342c
      1860  9./.,..[>}.B44,,  398f2ffe2cffff5b3e7dfc4234342c2c
      1798  ./.,..[>}.B44,,.  8f2ffe2cffff5b3e7dfc4234342c2cf8
      1722  ..+9./.,..[>}.B4  8ffe2b398f2ffe2cffff5b3e7dfc4234
      1717  /.,..[>}.B44,,.:  2ffe2cffff5b3e7dfc4234342c2cf83a
      1627  .+9./.,..[>}.B44  fe2b398f2ffe2cffff5b3e7dfc423434
# epoch 5000  H=6.7207 C=1.1805 HO=6.1971  A(t)=812
      1559  .....+9./.,..[>}  80fcfc8ffe2b398f2ffe2cffff5b3e7d
      1488  @.....+9./.,..[>  4080fcfc8ffe2b398f2ffe2cffff5b3e
      1468  ....+9./.,..[>}.  fcfc8ffe2b398f2ffe2cffff5b3e7dfc
      1256  [>}.B44,,.:..]].  5b3e7dfc4234342c2cf83aec9b5d5dff
      1173  +9./.,..[>}.B44,  2b398f2ffe2cffff5b3e7dfc4234342c
      1039  ...+9./.,..[>}.B  fc8ffe2b398f2ffe2cffff5b3e7dfc42
       967  >}.B44,,.:..]]..  3e7dfc4234342c2cf83aec9b5d5dffff
       824  .|..+9./.,..[>}.  fc7c8ffe2b398f2ffe2cffb55b3e7daf
       823  ..|..+9./.,..[>}  80fc7c8ffe2b398f2ffe2cffb55b3e7d
       823  @..|..+9./.,..[>  4080fc7c8ffe2b398f2ffe2cffb55b3e
# epoch 5250  H=6.8012 C=1.1562 HO=6.2843  A(t)=1205
      1055  +9./.,..[>}.B44,  2b398f2ffe2cffff5b3e7dfc4234342c
       960  .,..[>}.944,,.:.  fe2cff825b3e7dfc3934342c2ceb3aec
       954  .....+9./.,..[>}  80fcfc8ffe2b398f2ffe2cffff5b3e7d
       954  @.....+9./.,..[>  4080fcfc8ffe2b398f2ffe2cffff5b3e
       931  ..+9./.,..[>}.B4  8ffe2b398f2ffe2cffff5b3e7dfc4234
       921  ....`".LM4Bh..?l  fb8887886022f64c4d344268a4d03f6c
       915  OA....`".LM4Bh..  4f41fb8887886022f64c4d344268a4d0
       906  ,..[>}.944,,.:..  2cff825b3e7dfc3934342c2ceb3aec9b
       902  .+9./.,..[>}.B44  fe2b398f2ffe2cffff5b3e7dfc423434
       887  A....`".LM4Bh..?  41fb8887886022f64c4d344268a4d03f
# epoch 5500  H=6.8637 C=1.2000 HO=6.3530  A(t)=1607
       742  .._9...,..[>}.BM  8ffe20398ff7fe2cfeba5b3e7dfc424d
       738  ./.,v.[>}.B44.,D  8f2f082c76905b3e7d07423434832c44
       734  ....._9...,..[>}  80be028ffe20398ff7fe2cfeba5b3e7d
       732  ._9...,..[>}.BM4  fe20398ff7fe2cfeba5b3e7dfc424d34
       732  9./.,v.[>}.B44.,  398f2f082c76905b3e7d07423434832c
       729  ...._9...,..[>}.  be028ffe20398ff7fe2cfeba5b3e7dfc
       726  ..._9...,..[>}.B  028ffe20398ff7fe2cfeba5b3e7dfc42
       696  /.,v.[>}.B44.,D:  2f082c76905b3e7d07423434832c443a
       684  v.[>}.B44.,D:..]  76905b3e7d07423434832c443aec9b5d
       675  :/.,..[>}..4.,,.  3a2ffe2cffff5b3e7dfcf734042c2cf8
