# epoch 0  H=7.9949 C=7.9678 HO=0.0271  A(t)=0
      1069  }}}}}]++++++++[.  7d7d7d7d7d5d2b2b2b2b2b2b2b2b5b2e
      1067  }}]++++++++[.>}]  7d7d5d2b2b2b2b2b2b2b2b5b2e3e7d5d
      1066  }}}}]++++++++[.>  7d7d7d7d5d2b2b2b2b2b2b2b2b5b2e3e
      1066  }}}]++++++++[.>}  7d7d7d5d2b2b2b2b2b2b2b2b5b2e3e7d
# epoch 160  H=5.8585 C=0.3091 HO=5.5494  A(t)=419
      1103  .[-}}}}}}}}]++++  085b2d7d7d7d7d7d7d7d7d5d2b2b2b2b
      1086  -}}}}}}}}]++++++  2d7d7d7d7d7d7d7d7d5d2b2b2b2b2b2b
      1085  [-}}}}}}}}]+++++  5b2d7d7d7d7d7d7d7d7d5d2b2b2b2b2b
      1080  }}}}}}}}]+++++++  7d7d7d7d7d7d7d7d5d2b2b2b2b2b2b2b
      1080  }}}}}}}]++++++++  7d7d7d7d7d7d7d5d2b2b2b2b2b2b2b2b
      1080  }}}}}}]++++++++[  7d7d7d7d7d7d5d2b2b2b2b2b2b2b2b5b
      1071  }}}]++++++++[.>}  7d7d7d5d2b2b2b2b2b2b2b2b5b2e3e7d
      1070  }}}}}]++++++++[.  7d7d7d7d7d5d2b2b2b2b2b2b2b2b5b2e
      1070  }}}}]++++++++[.>  7d7d7d7d5d2b2b2b2b2b2b2b2b5b2e3e
      1067  }}]++++++++[.>}]  7d7d5d2b2b2b2b2b2b2b2b5b2e3e7d5d
# epoch 170  H=5.8314 C=0.3098 HO=5.5216  A(t)=419
      1097  [-}}}}}}}}]+++++  5b2d7d7d7d7d7d7d7d7d5d2b2b2b2b2b
      1097  -}}}}}}}}]++++++  2d7d7d7d7d7d7d7d7d5d2b2b2b2b2b2b
      1092  .[-}}}}}}}}]++++  085b2d7d7d7d7d7d7d7d7d5d2b2b2b2b
      1075  }}}}}}}}]+++++++  7d7d7d7d7d7d7d7d5d2b2b2b2b2b2b2b
      1074  }}}}}}}]++++++++  7d7d7d7d7d7d7d5d2b2b2b2b2b2b2b2b
      1073  }}}}}}]++++++++[  7d7d7d7d7d7d5d2b2b2b2b2b2b2b2b5b
      1071  }}}}}]++++++++[.  7d7d7d7d7d5d2b2b2b2b2b2b2b2b5b2e
      1071  }}}}]++++++++[.>  7d7d7d7d5d2b2b2b2b2b2b2b2b5b2e3e
      1071  }}}]++++++++[.>}  7d7d7d5d2b2b2b2b2b2b2b2b5b2e3e7d
      1059  }}]++++++++[.>}]  7d7d5d2b2b2b2b2b2b2b2b5b2e3e7d5d
# epoch 180  H=5.8565 C=0.3174 HO=5.5391  A(t)=429
      1068  -}}}}}}}}]++++++  2d7d7d7d7d7d7d7d7d5d2b2b2b2b2b2b
      1067  [-}}}}}}}}]+++++  5b2d7d7d7d7d7d7d7d7d5d2b2b2b2b2b
      1065  }}}}}}}}]+++++++  7d7d7d7d7d7d7d7d5d2b2b2b2b2b2b2b
      1063  }}}}}}}]++++++++  7d7d7d7d7d7d7d5d2b2b2b2b2b2b2b2b
      1063  }}}}}}]++++++++[  7d7d7d7d7d7d5d2b2b2b2b2b2b2b2b5b
      1063  .[-}}}}}}}}]++++  085b2d7d7d7d7d7d7d7d7d5d2b2b2b2b
      1038  }}}}}]++++++++[.  7d7d7d7d7d5d2b2b2b2b2b2b2b2b5b2e
      1038  }}}}]++++++++[.>  7d7d7d7d5d2b2b2b2b2b2b2b2b5b2e3e
      1036  }}}]++++++++[.>}  7d7d7d5d2b2b2b2b2b2b2b2b5b2e3e7d
      1031  }}]++++++++[.>}]  7d7d5d2b2b2b2b2b2b2b2b5b2e3e7d5d
# epoch 190  H=5.8211 C=0.3093 HO=5.5117  A(t)=461
      1093  .[-}}}}}}}}]++++  085b2d7d7d7d7d7d7d7d7d5d2b2b2b2b
      1092  }}}}}}}}]+++++++  7d7d7d7d7d7d7d7d5d2b2b2b2b2b2b2b
      1092  }}}}}}}]++++++++  7d7d7d7d7d7d7d5d2b2b2b2b2b2b2b2b
      1092  }}}}}}]++++++++[  7d7d7d7d7d7d5d2b2b2b2b2b2b2b2b5b
      1092  -}}}}}}}}]++++++  2d7d7d7d7d7d7d7d7d5d2b2b2b2b2b2b
      1091  [-}}}}}}}}]+++++  5b2d7d7d7d7d7d7d7d7d5d2b2b2b2b2b
      1071  }}}}}]++++++++[.  7d7d7d7d7d5d2b2b2b2b2b2b2b2b5b2e
      1071  }}}}]++++++++[.>  7d7d7d7d5d2b2b2b2b2b2b2b2b5b2e3e
      1054  }}}]++++++++[.>}  7d7d7d5d2b2b2b2b2b2b2b2b5b2e3e7d
      1050  }}]++++++++[.>}]  7d7d5d2b2b2b2b2b2b2b2b5b2e3e7d5d
# epoch 200  H=5.8701 C=0.3080 HO=5.5622  A(t)=499
      1046  -}}}}}}}}]++++++  2d7d7d7d7d7d7d7d7d5d2b2b2b2b2b2b
      1043  }}}}}}}}]+++++++  7d7d7d7d7d7d7d7d5d2b2b2b2b2b2b2b
      1043  }}}}}}}]++++++++  7d7d7d7d7d7d7d5d2b2b2b2b2b2b2b2b
      1043  }}}}}}]++++++++[  7d7d7d7d7d7d5d2b2b2b2b2b2b2b2b5b
      1042  .[-}}}}}}}}]++++  085b2d7d7d7d7d7d7d7d7d5d2b2b2b2b
      1040  [-}}}}}}}}]+++++  5b2d7d7d7d7d7d7d7d7d5d2b2b2b2b2b
      1036  }}}}}]++++++++[.  7d7d7d7d7d5d2b2b2b2b2b2b2b2b5b2e
      1036  }}}}]++++++++[.>  7d7d7d7d5d2b2b2b2b2b2b2b2b5b2e3e
      1031  }}}]++++++++[.>}  7d7d7d5d2b2b2b2b2b2b2b2b5b2e3e7d
      1019  }}]++++++++[.>}]  7d7d5d2b2b2b2b2b2b2b2b5b2e3e7d5d
# epoch 210  H=5.8572 C=0.3148 HO=5.5424  A(t)=499
      1031  }}}}}}]++++++++[  7d7d7d7d7d7d5d2b2b2b2b2b2b2b2b5b
      1031  [-}}}}}}}}]+++++  5b2d7d7d7d7d7d7d7d7d5d2b2b2b2b2b
      1031  .[-}}}}}}}}]++++  085b2d7d7d7d7d7d7d7d7d5d2b2b2b2b
      1030  }}}}}}}}]+++++++  7d7d7d7d7d7d7d7d5d2b2b2b2b2b2b2b
      1030  }}}}}}}]++++++++  7d7d7d7d7d7d7d5d2b2b2b2b2b2b2b2b
      1030  }}}}}]++++++++[.  7d7d7d7d7d5d2b2b2b2b2b2b2b2b5b2e
      1030  }}}}]++++++++[.>  7d7d7d7d5d2b2b2b2b2b2b2b2b5b2e3e
      1030  -}}}}}}}}]++++++  2d7d7d7d7d7d7d7d7d5d2b2b2b2b2b2b
      1018  }}}]++++++++[.>}  7d7d7d5d2b2b2b2b2b2b2b2b5b2e3e7d
      1007  }}]++++++++[.>}]  7d7d5d2b2b2b2b2b2b2b2b5b2e3e7d5d
# epoch 220  H=5.8999 C=0.3344 HO=5.5655  A(t)=515
      1015  }}}}}}]++++++++[  7d7d7d7d7d7d5d2b2b2b2b2b2b2b2b5b
      1015  -}}}}}}}}]++++++  2d7d7d7d7d7d7d7d7d5d2b2b2b2b2b2b
      1014  }}}}}}}}]+++++++  7d7d7d7d7d7d7d7d5d2b2b2b2b2b2b2b
      1014  }}}}}}}]++++++++  7d7d7d7d7d7d7d5d2b2b2b2b2b2b2b2b
      1014  }}}}}]++++++++[.  7d7d7d7d7d5d2b2b2b2b2b2b2b2b5b2e
      1013  }}}}]++++++++[.>  7d7d7d7d5d2b2b2b2b2b2b2b2b5b2e3e
      1012  [-}}}}}}}}]+++++  5b2d7d7d7d7d7d7d7d7d5d2b2b2b2b2b
      1011  }}}]++++++++[.>}  7d7d7d5d2b2b2b2b2b2b2b2b5b2e3e7d
      1011  .[-}}}}}}}}]++++  085b2d7d7d7d7d7d7d7d7d5d2b2b2b2b
       995  }}]++++++++[.>}]  7d7d5d2b2b2b2b2b2b2b2b5b2e3e7d5d
# epoch 230  H=5.8752 C=0.2936 HO=5.5816  A(t)=533
      1012  [-}}}}}}}}]+++++  5b2d7d7d7d7d7d7d7d7d5d2b2b2b2b2b
      1010  .[-}}}}}}}}]++++  085b2d7d7d7d7d7d7d7d7d5d2b2b2b2b
      1009  -}}}}}}}}]++++++  2d7d7d7d7d7d7d7d7d5d2b2b2b2b2b2b
      1008  }}}}}}}}]+++++++  7d7d7d7d7d7d7d7d5d2b2b2b2b2b2b2b
      1006  }}}}}}}]++++++++  7d7d7d7d7d7d7d5d2b2b2b2b2b2b2b2b
      1003  }}}}}}]++++++++[  7d7d7d7d7d7d5d2b2b2b2b2b2b2b2b5b
      1002  }}}}}]++++++++[.  7d7d7d7d7d5d2b2b2b2b2b2b2b2b5b2e
      1002  }}}}]++++++++[.>  7d7d7d7d5d2b2b2b2b2b2b2b2b5b2e3e
      1002  }}}]++++++++[.>}  7d7d7d5d2b2b2b2b2b2b2b2b5b2e3e7d
       989  }}]++++++++[.>}]  7d7d5d2b2b2b2b2b2b2b2b5b2e3e7d5d
# epoch 240  H=5.8801 C=0.3129 HO=5.5673  A(t)=539
      1007  }}}}}}}}]+++++++  7d7d7d7d7d7d7d7d5d2b2b2b2b2b2b2b
      1007  }}}}}}}]++++++++  7d7d7d7d7d7d7d5d2b2b2b2b2b2b2b2b
      1007  -}}}}}}}}]++++++  2d7d7d7d7d7d7d7d7d5d2b2b2b2b2b2b
      1007  .[-}}}}}}}}]++++  085b2d7d7d7d7d7d7d7d7d5d2b2b2b2b
      1005  }}}}}}]++++++++[  7d7d7d7d7d7d5d2b2b2b2b2b2b2b2b5b
      1005  [-}}}}}}}}]+++++  5b2d7d7d7d7d7d7d7d7d5d2b2b2b2b2b
      1004  }}}}}]++++++++[.  7d7d7d7d7d5d2b2b2b2b2b2b2b2b5b2e
      1004  }}}]++++++++[.>}  7d7d7d5d2b2b2b2b2b2b2b2b5b2e3e7d
      1003  }}}}]++++++++[.>  7d7d7d7d5d2b2b2b2b2b2b2b2b5b2e3e
      1001  }}]++++++++[.>}]  7d7d5d2b2b2b2b2b2b2b2b5b2e3e7d5d
# epoch 250  H=5.8209 C=0.2960 HO=5.5249  A(t)=549
      1009  }}}]++++++++[.>}  7d7d7d5d2b2b2b2b2b2b2b2b5b2e3e7d
      1009  }}]++++++++[.>}]  7d7d5d2b2b2b2b2b2b2b2b5b2e3e7d5d
      1007  }}}}}}}}]+++++++  7d7d7d7d7d7d7d7d5d2b2b2b2b2b2b2b
      1007  }}}}}}}]++++++++  7d7d7d7d7d7d7d5d2b2b2b2b2b2b2b2b
      1007  -}}}}}}}}]++++++  2d7d7d7d7d7d7d7d7d5d2b2b2b2b2b2b
      1006  }}}}}}]++++++++[  7d7d7d7d7d7d5d2b2b2b2b2b2b2b2b5b
      1006  }}}}}]++++++++[.  7d7d7d7d7d5d2b2b2b2b2b2b2b2b5b2e
      1006  }}}}]++++++++[.>  7d7d7d7d5d2b2b2b2b2b2b2b2b5b2e3e
