# epoch 0  H=7.9996 C=8.0025 HO=-0.0004  A(t)=0
       213  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       136  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
       113  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        99  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        49  ................  8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c
        48  ................  ecececececececececececececececec
        48  ................  9a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9a
        47  CCCCCCCCCCCCCCCC  43434343434343434343434343434343
        41  ................  0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c
        37  ................  c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6
# epoch 1200  H=7.9920 C=7.9142 HO=0.0721  A(t)=107
       165  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       159  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       128  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        95  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        49  ................  8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c
        48  ................  ecececececececececececececececec
        47  ................  b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7
        47  CCCCCCCCCCCCCCCC  43434343434343434343434343434343
        45  AAAAAAAAAAAAAAAA  41414141414141414141414141414141
        44  ''''''''''''''''  27272727272727272727272727272727
# epoch 1250  H=7.9918 C=7.9117 HO=0.0754  A(t)=110
       152  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       144  ................  a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9
       114  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
       103  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        77  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        76  ................  b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9
        49  ................  8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c
        48  ................  ecececececececececececececececec
        48  CCCCCCCCCCCCCCCC  43434343434343434343434343434343
        45  AAAAAAAAAAAAAAAA  41414141414141414141414141414141
# epoch 1300  H=7.9914 C=7.9065 HO=0.0825  A(t)=112
       154  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        93  ................  a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9
        93  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
        90  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        88  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        79  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        49  ................  adadadadadadadadadadadadadadadad
        48  ................  ecececececececececececececececec
        48  CCCCCCCCCCCCCCCC  43434343434343434343434343434343
        47  ................  95959595959595959595959595959595
# epoch 1350  H=7.9909 C=7.9031 HO=0.0826  A(t)=118
       175  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       129  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       116  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        77  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
        76  ................  a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9
        56  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        52  ................  04040404040404040404040404040404
        49  ................  adadadadadadadadadadadadadadadad
        48  ................  ecececececececececececececececec
        47  ................  e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
# epoch 1400  H=7.9906 C=7.9000 HO=0.0835  A(t)=121
       146  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        90  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        76  ................  a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9
        76  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        66  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
        58  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        50  ................  d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2
        49  ................  01010101010101010101010101010101
        48  ................  adadadadadadadadadadadadadadadad
        47  ................  e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
# epoch 1450  H=7.9903 C=7.9022 HO=0.0815  A(t)=126
       124  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        86  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        76  ................  a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9
        71  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        66  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        66  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
        48  ................  adadadadadadadadadadadadadadadad
        47  ................  e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
        46  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
        45  ................  b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
# epoch 1500  H=7.9901 C=7.9021 HO=0.0811  A(t)=127
       125  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        74  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        71  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        62  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        50  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
        48  ................  abababababababababababababababab
        48  ................  a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9
        47  ................  e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
        45  ................  b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
