# epoch 0  H=7.9999 C=8.0025 HO=-0.0026  A(t)=0
       322  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       320  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       312  zzzzzzzzzzzzzzzz  7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a
       289  ................  ffffffffffffffffffffffffffffffff
# epoch 3200  H=7.6847 C=7.3003 HO=0.3844  A(t)=370
      1291  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       723  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       665  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       540  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       486  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       348  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       320  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       275  9999999999999999  39393939393939393939393939393939
       223  AAAAAAAAAAAAAAAA  41414141414141414141414141414141
       218  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
# epoch 3400  H=7.6734 C=7.3132 HO=0.3603  A(t)=372
      1484  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       664  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       627  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       581  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       411  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       402  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       355  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       295  9999999999999999  39393939393939393939393939393939
       259  8888888888888888  38383838383838383838383838383838
       235  5555555555555555  35353535353535353535353535353535
# epoch 3600  H=7.6575 C=7.3193 HO=0.3382  A(t)=373
       799  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       729  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       723  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       588  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       550  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       504  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       382  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       350  9999999999999999  39393939393939393939393939393939
       249  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       228  7777777777777777  37373737373737373737373737373737
# epoch 3800  H=7.6444 C=7.3257 HO=0.3186  A(t)=374
       943  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
