# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
       126  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       102  ................  02020202020202020202020202020202
        99  ................  f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5
        97  ................  04040404040404040404040404040404
        91  ////////////////  2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f
        88  ((((((((((((((((  28282828282828282828282828282828
# epoch 5250  H=7.7821 C=7.5725 HO=0.1446  A(t)=305
       617  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       497  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       454  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       175  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       171  ________________  5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f
       157  ................  fcfcfcfcfcfcfcfcfcfcfcfcfcfcfcfc
       127  0000000000000000  30303030303030303030303030303030
       115  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       112  ................  fdfdfdfdfdfdfdfdfdfdfdfdfdfdfdfd
       108  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
# epoch 5500  H=5.5450 C=1.2745 HO=4.8017  A(t)=305
     16977  [[>........m}Q.Q  5b5b3eea08e708a0e2fde76d7d510851
     16433  ]+]&...YY...[YY4  5d2b5d26b0c7125959d8a0c75b595934
     16098  +]&...YY...[YY4.  2b5d26b0c7125959d8a0c75b5959341e
     15872  ]&...YY...[YY4.4  5d26b0c7125959d8a0c75b5959341e34
     15671  4t4YYF.&[[>.....  3474345959468e265b5b3eea08e708a0
     15642  .]+]&...YY...[YY  f05d2b5d26b0c7125959d8a0c75b5959
     15590  &...YY...[YY4.45  26b0c7125959d8a0c75b5959341e3435
     15252  ..]+]&...YY...[Y  c7f05d2b5d26b0c7125959d8a0c75b59
     14957  t4YYF.&[[>......  74345959468e265b5b3eea08e708a0e2
     14831  [>........m}Q.QQ  5b3eea08e708a0e2fde76d7d51085151
# epoch 5750  H=5.6823 C=1.3091 HO=4.8991  A(t)=305
      7029  m}Q.QQ?.,Y.bQ..]  6d7d510851513ffa2c590a6251c7f05d
      6945  4t4YYF.&[[>.....  3474345959468e265b5b3eea08e708a0
      6625  }Q.QQ?.,Y.bQ..]+  7d510851513ffa2c590a6251c7f05d2b
      6604  [[>........m}Q.Q  5b5b3eea08e708a0e2fde76d7d510851
      6494  F.&[[>........m}  468e265b5b3eea08e708a0e2fde76d7d
      6381  t4YYF.&[[>......  74345959468e265b5b3eea08e708a0e2
