# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
       426  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       359  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       184  ................  01010101010101010101010101010101
       162  @@@@@@@@@@@@@@@@  40404040404040404040404040404040
       154  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       130  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
        99  EEEEEEEEEEEEEEEE  45454545454545454545454545454545
        98  ................  dddddddddddddddddddddddddddddddd
        93  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
# epoch 4750  H=7.7985 C=7.5871 HO=0.1462  A(t)=308
       586  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       499  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       348  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       205  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       181  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       132  ................  81818181818181818181818181818181
       118  ................  ffffffffffffffffffffffffffffffff
       115  ****************  2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a
       112  TTTTTTTTTTTTTTTT  54545454545454545454545454545454
       111  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
# epoch 5000  H=7.7943 C=7.5765 HO=0.1527  A(t)=309
       531  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       511  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       461  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       174  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       174  ................  01010101010101010101010101010101
       171  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       149  ................  02020202020202020202020202020202
       103  rrrrrrrrrrrrrrrr  72727272727272727272727272727272
        97  ................  00000000000000000000000000000000
        95  ................  fefefefefefefefefefefefefefefefe
# epoch 5250  H=7.7915 C=7.5783 HO=0.1482  A(t)=310
       778  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       569  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       550  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       220  ................  ffffffffffffffffffffffffffffffff
       183  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       148  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
       144  ................  01010101010101010101010101010101
       134  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       106  ////////////////  2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f
       100  ................  02020202020202020202020202020202
# epoch 5500  H=7.7885 C=7.5766 HO=0.1481  A(t)=310
       596  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       468  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       466  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       211  ................  03030303030303030303030303030303
       125  YYYYYYYYYYYYYYYY  59595959595959595959595959595959
       110  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       108  ................  c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2
       107  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
       106  ................  0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a
       102  GGGGGGGGGGGGGGGG  47474747474747474747474747474747
# epoch 5750  H=7.7882 C=7.5901 HO=0.1355  A(t)=310
       608  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       491  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       399  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       214  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       191  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       178  ................  01010101010101010101010101010101
       131  ................  f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0
       120  ))))))))))))))))  29292929292929292929292929292929
       117  ................  c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6
       103  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
# epoch 6000  H=7.7893 C=7.5769 HO=0.1471  A(t)=310
       662  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       631  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       510  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       248  ................  bfbfbfbfbfbfbfbfbfbfbfbfbfbfbfbf
       203  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       162  ................  01010101010101010101010101010101
       144  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       118  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       107  2222222222222222  32323232323232323232323232323232
       106  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
# epoch 6250  H=7.7856 C=7.5678 HO=0.1532  A(t)=310
       839  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       463  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       263  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       182  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
