epoch,wall_s,sim_s,entropy_bits,zlib_bits,high_order_entropy,mean_steps,frac_copy_runs,frac_term_budget,frac_term_off_region,frac_term_unmatched,runs,steps,mutations,distinct_windows,n_persistent,A_t
8100,34.929,23.447,1.129367,1.090454,0.038913,128.7906,0.86168,0.0,0.996602,0.003398,51200,6594078,798,7807,283,965
8150,35.058,23.52,1.199116,1.134155,0.064961,128.7955,0.855137,0.0,0.996641,0.003359,51200,6594329,784,8442,282,965
8200,35.185,23.59,1.181314,1.141602,0.039713,128.823,0.880234,0.0,0.997402,0.002598,51200,6595737,805,8582,280,965
8250,35.415,23.714,1.276411,1.161743,0.114668,128.763,0.881523,0.0,0.996348,0.003652,51200,6592666,719,9637,281,965
8300,35.546,23.796,1.382626,1.251587,0.13104,128.8234,0.864414,0.0,0.997168,0.002832,51200,6595759,798,10611,288,973
8350,35.669,23.864,1.48255,1.332153,0.150396,128.8875,0.845195,0.0,0.998105,0.001895,51200,6599040,713,11330,286,976
8400,35.877,23.957,1.442487,1.311279,0.131207,128.9095,0.868418,0.0,0.998516,0.001484,51200,6600167,771,10895,291,983
8450,36.126,24.104,1.444783,1.302612,0.142171,128.7711,0.868457,0.0,0.996465,0.003535,51200,6593079,786,11291,283,986
8500,36.367,24.241,1.402395,1.290283,0.112112,131.5948,0.850098,0.000352,0.995293,0.004355,51200,6737655,804,10939,280,989
8550,36.614,24.377,1.366315,1.273804,0.092511,129.6755,0.835508,0.000117,0.995645,0.004238,51200,6639388,817,10382,288,998
8600,36.863,24.515,1.331598,1.255249,0.076349,128.919,0.843555,0.0,0.996406,0.003594,51200,6600652,739,10202,283,1000
8650,37.109,24.657,1.273232,1.183228,0.090005,128.7477,0.828164,0.0,0.99625,0.00375,51200,6591881,781,10004,285,1000
8700,37.351,24.793,1.190197,1.170532,0.019664,128.7557,0.814883,0.0,0.996309,0.003691,51200,6592290,770,9246,295,1013
8750,37.604,24.935,1.225051,1.181519,0.043532,128.7596,0.844004,0.0,0.996484,0.003516,51200,6592493,828,9800,298,1019
8800,37.848,25.071,1.28248,1.237549,0.044931,128.9397,0.84627,0.0,0.999062,0.000938,51200,6601712,785,10565,307,1024
8850,38.088,25.206,1.293194,1.213745,0.079449,128.8401,0.840332,0.0,0.997578,0.002422,51200,6596614,789,10343,296,1025
8900,38.33,25.341,1.218764,1.165283,0.053481,128.7623,0.819727,0.0,0.996094,0.003906,51200,6592628,776,9303,297,1031
8950,38.479,25.438,1.269836,1.219727,0.050109,134.8939,0.802871,0.000742,0.997363,0.001895,51200,6906570,824,10747,283,1031
9000,38.6,25.506,1.260595,1.223145,0.03745,128.8044,0.816152,0.0,0.997031,0.002969,51200,6594787,754,10519,276,1031
9050,38.826,25.626,1.224776,1.199219,0.025557,128.7886,0.827285,0.0,0.996738,0.003262,51200,6593978,826,10481,283,1037
9100,38.947,25.695,1.318389,1.27417,0.04422,128.7119,0.826094,0.0,0.995527,0.004473,51200,6590050,737,11520,289,1047
9150,39.111,25.774,1.308646,1.224609,0.084037,128.7393,0.818828,0.0,0.995684,0.004316,51200,6591451,752,10775,298,1060
9200,39.301,25.91,1.261528,1.203979,0.057548,128.614,0.827266,0.0,0.993848,0.006152,51200,6585035,802,10565,299,1067
9250,39.425,25.982,1.141696,1.136841,0.004855,128.5834,0.824062,0.0,0.993633,0.006367,51200,6583470,777,9759,292,1069
9300,39.562,26.05,1.199422,1.166992,0.03243,128.7521,0.83457,0.0,0.995352,0.004648,51200,6592107,741,9590,292,1069
9350,39.742,26.175,1.13493,1.12146,0.01347,128.9246,0.835156,0.0,0.99873,0.00127,51200,6600942,778,8615,297,1076
9400,39.866,26.243,1.156983,1.140015,0.016969,129.6204,0.832754,7.8e-05,0.999805,0.000117,51200,6636562,782,9210,296,1079
9450,40.061,26.342,1.196918,1.177856,0.019062,128.8068,0.838906,0.0,0.997031,0.002969,51200,6594907,774,9592,298,1084
9500,40.187,26.411,1.330791,1.26709,0.063701,128.6959,0.854199,0.0,0.995488,0.004512,51200,6589231,795,10494,295,1085
9550,40.336,26.481,1.380691,1.294922,0.08577,128.86,0.861172,0.0,0.997832,0.002168,51200,6597634,771,10509,283,1085
9600,40.532,26.615,1.307029,1.252319,0.054709,130.8779,0.873086,0.000234,0.996953,0.002812,51200,6700949,762,9857,281,1085
9650,40.653,26.684,1.217392,1.1604,0.056991,134.3259,0.885156,0.000586,0.997754,0.00166,51200,6877486,813,8753,281,1085
9700,40.807,26.753,1.214431,1.145508,0.068923,128.9155,0.874375,0.0,0.998652,0.001348,51200,6600472,767,7979,278,1085
9750,40.923,26.821,1.169544,1.089233,0.08031,128.82,0.867539,0.0,0.997129,0.002871,51200,6595585,811,8095,280,1090
9800,41.06,26.894,1.163839,1.109741,0.054098,133.9356,0.854102,0.000625,0.997734,0.001641,51200,6857505,754,8417,286,1095
9850,41.307,27.038,1.207986,1.137695,0.07029,128.618,0.852422,0.0,0.994219,0.005781,51200,6585241,852,9571,289,1098
