# epoch 0  H=7.9996 C=8.0025 HO=-0.0004  A(t)=0
        29  0000000000000000  30303030303030303030303030303030
        27  ................  16161616161616161616161616161616
        26  PPPPPPPPPPPPPPPP  50505050505050505050505050505050
# epoch 750  H=7.9954 C=7.9594 HO=-0.0047  A(t)=57
       357  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        47  ................  dadadadadadadadadadadadadadadada
        44  ................  c9c9c9c9c9c9c9c9c9c9c9c9c9c9c9c9
        38  ................  a6a6a6a6a6a6a6a6a6a6a6a6a6a6a6a6
        36  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
        29  ................  fefefefefefefefefefefefefefefefe
        28  ................  9f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9f
        27  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        26  ................  01010101010101010101010101010101
        25  PPPPPPPPPPPPPPPP  50505050505050505050505050505050
# epoch 800  H=7.9952 C=7.9585 HO=-0.0049  A(t)=57
       350  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        44  ................  80808080808080808080808080808080
        38  ................  a6a6a6a6a6a6a6a6a6a6a6a6a6a6a6a6
        31  ................  dadadadadadadadadadadadadadadada
        29  ................  c9c9c9c9c9c9c9c9c9c9c9c9c9c9c9c9
        28  ................  9f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9f
        25  PPPPPPPPPPPPPPPP  50505050505050505050505050505050
        23  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
        23  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        20  ................  fefefefefefefefefefefefefefefefe
# epoch 850  H=7.9951 C=7.9573 HO=-0.0050  A(t)=64
       318  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        74  ................  e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2
        44  ................  80808080808080808080808080808080
        43  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        38  ................  a6a6a6a6a6a6a6a6a6a6a6a6a6a6a6a6
        29  ................  c9c9c9c9c9c9c9c9c9c9c9c9c9c9c9c9
        28  ................  9f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9f
        27  ................  dadadadadadadadadadadadadadadada
        26  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
        18  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
# epoch 900  H=7.9950 C=7.9575 HO=-0.0051  A(t)=66
       284  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        66  ................  e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2
        58  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        38  ................  a6a6a6a6a6a6a6a6a6a6a6a6a6a6a6a6
        37  {{{{{{{{{{{{{{{{  7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b
        29  ................  c9c9c9c9c9c9c9c9c9c9c9c9c9c9c9c9
        28  ................  9f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9f
        28  ................  80808080808080808080808080808080
        26  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
        25  ................  dadadadadadadadadadadadadadadada
# epoch 950  H=7.9950 C=7.9577 HO=-0.0051  A(t)=68
       262  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        61  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        51  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        43  ................  e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2
        32  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
        25  ................  dadadadadadadadadadadadadadadada
        22  ................  a6a6a6a6a6a6a6a6a6a6a6a6a6a6a6a6
        21  ................  d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
        21  ................  9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e
        21  {{{{{{{{{{{{{{{{  7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b
# epoch 1000  H=7.9949 C=7.9578 HO=-0.0052  A(t)=69
       279  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        61  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        42  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        33  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
