# epoch 0  H=7.9999 C=8.0025 HO=-0.0025  A(t)=0
       827  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       737  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       572  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       557  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       409  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       374  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       277  9999999999999999  39393939393939393939393939393939
       241  8888888888888888  38383838383838383838383838383838
       226  ................  01010101010101010101010101010101
# epoch 5000  H=7.5916 C=7.3095 HO=0.2821  A(t)=354
      1205  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       706  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       683  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       565  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       456  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       325  @@@@@@@@@@@@@@@@  40404040404040404040404040404040
       288  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       287  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       271  9999999999999999  39393939393939393939393939393939
       204  ................  14141414141414141414141414141414
# epoch 5200  H=7.5845 C=7.3029 HO=0.2816  A(t)=356
      1340  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       790  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       663  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       508  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       470  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       426  9999999999999999  39393939393939393939393939393939
       373  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       322  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       306  @@@@@@@@@@@@@@@@  40404040404040404040404040404040
       245  {{{{{{{{{{{{{{{{  7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b
# epoch 5400  H=7.5879 C=7.3101 HO=0.2778  A(t)=358
       937  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       604  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       603  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       440  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       373  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       295  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       287  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       258  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
       248  9999999999999999  39393939393939393939393939393939
       229  @@@@@@@@@@@@@@@@  40404040404040404040404040404040
# epoch 5600  H=7.5890 C=7.3113 HO=0.2777  A(t)=358
       956  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       639  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       598  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       513  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
