# epoch 0  H=7.9999 C=8.0025 HO=-0.0026  A(t)=0
      1271  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       918  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       856  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       802  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       693  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       563  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       388  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       323  5555555555555555  35353535353535353535353535353535
       319  9999999999999999  39393939393939393939393939393939
# epoch 2800  H=7.6852 C=7.2457 HO=0.4395  A(t)=399
      1565  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1014  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       906  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       818  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       675  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       516  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       474  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       264  ................  b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4
       257  5555555555555555  35353535353535353535353535353535
       252  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
# epoch 3000  H=7.6743 C=7.2763 HO=0.3980  A(t)=404
      1252  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       768  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
