# epoch 0  H=7.9968 C=8.0032 HO=-0.0037  A(t)=0
         1  ..[.v.......d...  ffff5bbd761690e0f415bd946402bdd4
       539  ................  00000000000000000000000000000000
        53  0000000000000000  30303030303030303030303030303030
        15  ...............,  0101010101010101010101010101012c
        11  ................  a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0
        11  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        10  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        10  ..............,.  01010101010101010101010101012c01
         7  ................  01010101010101010101010101010102
         6  ................  e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1
# epoch 6250  H=6.7135 C=6.4711 HO=0.4081  A(t)=12
      2288  ................  01010101010101010101010101010101
       784  ................  00000000000000000000000000000000
        22  ...............,  0101010101010101010101010101012c
        10  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
         8  0000000000000000  30303030303030303030303030303030
         8  ..............,.  01010101010101010101010101012c01
         7  ................  02010101010101010101010101010101
         7  ................  01010101010101010101010101010102
         6  ................  01010101010101010101010101010202
         5  ................  01010101010202010101010101010101
# epoch 6500  H=6.6214 C=6.3958 HO=0.3762  A(t)=12
      2073  ................  01010101010101010101010101010101
       787  ................  00000000000000000000000000000000
        22  ...............,  0101010101010101010101010101012c
        21  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        20  ****************  2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a
        10  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
         9  ..............,.  01010101010101010101010101012c01
         8  .............,..  010101010101010101010101012c0101
         7  ................  01010101010101010101010101010102
         6  ................  02010101010101010101010101010101
# epoch 6750  H=6.5944 C=6.3590 HO=0.3866  A(t)=12
      2270  ................  01010101010101010101010101010101
       905  ................  00000000000000000000000000000000
       113  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
        19  ...............,  0101010101010101010101010101012c
        15  ****************  2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a
         9  ..............,.  01010101010101010101010101012c01
         8  .............,..  010101010101010101010101012c0101
         5  ................  02020101010101010101010101010101
         5  ................  02010101010101010101010101010101
         5  ................  01010202010101010101010101010101
# epoch 7000  H=6.5331 C=6.3112 HO=0.3651  A(t)=12
      2398  ................  01010101010101010101010101010101
      1355  ................  00000000000000000000000000000000
        26  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
        24  ...............,  0101010101010101010101010101012c
         9  ................  01010101010101010101010101010102
         7  ..............,.  01010101010101010101010101012c01
         7  ................  00000100000000000000000000000000
         7  ................  00000001000000000000000000000000
         7  ................  00000000010000000000000000000000
         7  ................  00000000000100000000000000000000
# epoch 7250  H=6.4808 C=6.2623 HO=0.3460  A(t)=12
      2256  ................  01010101010101010101010101010101
      1290  ................  00000000000000000000000000000000
        27  wwwwwwwwwwwwwwww  77777777777777777777777777777777
        22  ................  fdfdfdfdfdfdfdfdfdfdfdfdfdfdfdfd
        22  ...............,  0101010101010101010101010101012c
        14  ..............,.  01010101010101010101010101012c01
        11  .............,..  010101010101010101010101012c0101
         7  ............,...  0101010101010101010101012c010101
         7  ................  00000000000000000000000000000001
         6  ................  02010101010101010101010101010101
# epoch 7500  H=6.3966 C=6.1777 HO=0.3479  A(t)=12
      2303  ................  01010101010101010101010101010101
      1207  ................  00000000000000000000000000000000
        25  ...............,  0101010101010101010101010101012c
        21  ................  ffffffffffffffffffffffffffffffff
        14  ..............,.  01010101010101010101010101012c01
        10  .............,..  010101010101010101010101012c0101
         9  ................  01010101010101010101010101010102
