epoch,wall_s,sim_s,entropy_bits,comp_bits,high_order_entropy,brotli2_bits,zlib_bits,hoe_zlib,mean_steps,frac_copy_runs,frac_steps_in_loop,ops_per_run,copies_per_run,frac_term_budget,frac_term_off_region,frac_term_unmatched,runs,steps,mutations,distinct_windows,n_persistent,A_t,n_persistent_naive,A_t_naive,distinct_tapes,distinct_labels
27000,91.198,87.357,6.529808,6.328491,0.201317,6.410034,6.43811,0.091698,534.6306,0.307898,0.792675,80.6477,2.0672,0.051598,0.762988,0.185414,256000,136865443,3891,59958,10,44,10,44,,
27250,91.988,88.112,6.55255,6.368164,0.184386,6.443726,6.47644,0.076109,582.5744,0.292809,0.808658,83.4819,4.091,0.057641,0.764289,0.17807,256000,149139055,3882,60453,10,44,10,44,,
27500,92.818,88.906,6.5744,6.41272,0.16168,6.483521,6.515625,0.058775,660.3747,0.294406,0.831048,89.0391,1.4898,0.065977,0.756969,0.177055,256000,169055918,4048,60644,9,44,9,44,,
27750,93.632,89.684,6.540435,6.354736,0.185698,6.447266,6.466675,0.07376,633.5288,0.306648,0.823022,47.3699,0.8859,0.062492,0.765031,0.172477,256000,162183373,3898,60324,9,44,9,44,,
28000,94.437,90.455,6.551174,6.394043,0.157132,6.462158,6.490234,0.06094,640.8196,0.306004,0.82664,51.9779,0.872,0.063062,0.755648,0.181289,256000,164049823,4010,60533,9,44,9,44,,
28250,95.218,91.201,6.538056,6.365479,0.172577,6.439453,6.463013,0.075043,619.7733,0.299109,0.819056,38.506,0.7326,0.060043,0.768629,0.171328,256000,158661966,3911,60038,10,44,10,44,,
28500,96.037,91.985,6.552285,6.394531,0.157754,6.461792,6.492188,0.060098,626.9756,0.295438,0.820973,44.7053,0.681,0.061352,0.770504,0.168145,256000,160505766,3921,60246,13,44,13,44,,
28750,96.789,92.703,6.518246,6.366699,0.151547,6.431152,6.451538,0.066708,586.7012,0.288141,0.809004,31.3882,0.6664,0.057184,0.767352,0.175465,256000,150195517,3907,60061,12,44,12,44,,
29000,97.537,93.415,6.530334,6.381104,0.149231,6.438354,6.463013,0.067322,518.5051,0.277992,0.781947,25.2399,0.6666,0.048469,0.776641,0.174891,256000,132737307,3896,60141,11,44,11,44,,
29250,98.257,94.099,6.527005,6.34375,0.183255,6.414307,6.437134,0.089871,524.0539,0.290461,0.78441,32.5711,0.8089,0.049078,0.777594,0.173328,256000,134157795,3846,59853,11,44,11,44,,
