# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
       310  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       263  9999999999999999  39393939393939393939393939393939
       168  ''''''''''''''''  27272727272727272727272727272727
# epoch 4500  H=7.5997 C=7.3314 HO=0.2094  A(t)=358
       764  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       617  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       556  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       550  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       501  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       441  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       336  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       296  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       188  9999999999999999  39393939393939393939393939393939
       169  @@@@@@@@@@@@@@@@  40404040404040404040404040404040
# epoch 4750  H=7.5964 C=7.3304 HO=0.2049  A(t)=358
       906  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       737  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       585  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       574  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       349  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       286  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       220  8888888888888888  38383838383838383838383838383838
       206  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       188  ................  09090909090909090909090909090909
       182  ................  fbfbfbfbfbfbfbfbfbfbfbfbfbfbfbfb
# epoch 5000  H=7.5865 C=7.3202 HO=0.2096  A(t)=359
      1082  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       914  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       613  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       491  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       384  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       276  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       241  8888888888888888  38383838383838383838383838383838
       239  @@@@@@@@@@@@@@@@  40404040404040404040404040404040
       209  %%%%%%%%%%%%%%%%  25252525252525252525252525252525
       208  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
# epoch 5250  H=7.5795 C=7.3178 HO=0.2020  A(t)=359
       985  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       652  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       535  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       499  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       465  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       441  8888888888888888  38383838383838383838383838383838
       405  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       365  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       275  CCCCCCCCCCCCCCCC  43434343434343434343434343434343
       211  3333333333333333  33333333333333333333333333333333
# epoch 5500  H=7.5740 C=7.3170 HO=0.2021  A(t)=360
      1013  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
