# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
     10822  ..J....[^..J0-,~  80804a9080e1175b5ee1de4a302d2c7e
# epoch 4500  H=6.1400 C=0.9390 HO=5.5677  A(t)=302
      9025  [[[.J.O,~~.}.>Ut  5b5b5bde4a174f2c7e7e0b7de03e5574
      8986  .[[[.J.O,~~.}.>U  175b5b5bde4a174f2c7e7e0b7de03e55
      8979  ..[[[.J.O,~~.}.>  e1175b5b5bde4a174f2c7e7e0b7de03e
      8704  [[.J.O,~~.}.>Ut$  5b5bde4a174f2c7e7e0b7de03e557424
      8594  [.J.O,~~.}.>Ut$^  5bde4a174f2c7e7e0b7de03e5574245e
      8579  ....[[[.J.O,~~.}  9080e1175b5b5bde4a174f2c7e7e0b7d
      8511  ...[[[.J.O,~~.}.  80e1175b5b5bde4a174f2c7e7e0b7de0
      8269  .J....[[[.J.O,~~  804a9080e1175b5b5bde4a174f2c7e7e
      8075  J....[[[.J.O,~~.  4a9080e1175b5b5bde4a174f2c7e7e0b
      7985  .J.O,~~.}.>Ut$^.  de4a174f2c7e7e0b7de03e5574245e15
# epoch 4750  H=6.3219 C=1.0850 HO=5.7630  A(t)=302
      5779  [[[.J.O,~~.}.>Ut  5b5b5bde4a174f2c7e7e0b7de03e5574
      5511  [[.J.O,~~.}.>Ut$  5b5bde4a174f2c7e7e0b7de03e557424
      5299  .[[[.J.O,~~.}.>U  175b5b5bde4a174f2c7e7e0b7de03e55
      5256  ..[[[.J.O,~~.}.>  e1175b5b5bde4a174f2c7e7e0b7de03e
      5054  [.J.O,~~.}.>Ut$^  5bde4a174f2c7e7e0b7de03e5574245e
      4860  ...[[[.J.O,~~.}.  80e1175b5b5bde4a174f2c7e7e0b7de0
      4172  ....[[[.J.O,~~.}  9080e1175b5b5bde4a174f2c7e7e0b7d
      3980  .J.O,~~.}.>Ut$^.  de4a174f2c7e7e0b7de03e5574245e15
      3952  ...J....[[[.J.O,  0080804a9080e1175b5b5bde4a174f2c
      3871  J.O,~~.}.>Ut$^..  4a174f2c7e7e0b7de03e5574245e15de
# epoch 5000  H=6.4432 C=1.1350 HO=5.9014  A(t)=302
      3507  [[[.J.O,~~.}.>Ut  5b5b5bde4a174f2c7e7e0b7de03e5574
      3317  [.J.O,~~.}.>Ut$^  5bde4a174f2c7e7e0b7de03e5574245e
      3211  [[.J.O,~~.}.>Ut$  5b5bde4a174f2c7e7e0b7de03e557424
      3033  .[[[.J.O,~~.}.>U  175b5b5bde4a174f2c7e7e0b7de03e55
      2867  ..[[[.J.O,~~.}.>  e1175b5b5bde4a174f2c7e7e0b7de03e
      2791  .J.O,~~.}.>Ut$^.  de4a174f2c7e7e0b7de03e5574245e15
      2445  ...[[[.J.O,~~.}.  80e1175b5b5bde4a174f2c7e7e0b7de0
      2361  .J....[[[.J.O,~~  804a9080e1175b5b5bde4a174f2c7e7e
      2350  ....[[[.J.O,~~.}  9080e1175b5b5bde4a174f2c7e7e0b7d
      2191  J.O,~~.}.>Ut$^..  4a174f2c7e7e0b7de03e5574245e15de
# epoch 5250  H=6.5644 C=1.1713 HO=6.0358  A(t)=415
      2729  [[[.J.O,~~.}.>Ut  5b5b5bde4a174f2c7e7e0b7de03e5574
      2438  [[.J.O,~~.}.>Ut$  5b5bde4a174f2c7e7e0b7de03e557424
      2378  .[[[.J.O,~~.}.>U  175b5b5bde4a174f2c7e7e0b7de03e55
      2092  [.J.O,~~.}.>Ut$^  5bde4a174f2c7e7e0b7de03e5574245e
      2087  ..[[[.J.O,~~.}.>  e1175b5b5bde4a174f2c7e7e0b7de03e
      1797  .J.O,~~.}.>Ut$^.  de4a174f2c7e7e0b7de03e5574245e15
      1668  ...[[[.J.O,~~.}.  80e1175b5b5bde4a174f2c7e7e0b7de0
      1466  J.O,~~.}.>Ut$^..  4a174f2c7e7e0b7de03e5574245e15de
      1459  ,~~.}.>Ut$^..,0]  2c7e7e0b7de03e5574245e15de2c305d
      1417  ....[[[.J.O,~~.}  9080e1175b5b5bde4a174f2c7e7e0b7d
# epoch 5500  H=6.6636 C=1.1715 HO=6.1386  A(t)=1006
      2086  [[[.J.O,~~.}.>Ut  5b5b5bde4a174f2c7e7e0b7de03e5574
      1871  .[[[.J.O,~~.}.>U  175b5b5bde4a174f2c7e7e0b7de03e55
      1813  [[.J.O,~~.}.>Ut$  5b5bde4a174f2c7e7e0b7de03e557424
      1618  ..[[[.J.O,~~.}.>  e1175b5b5bde4a174f2c7e7e0b7de03e
      1518  [.J.O,~~.}.>Ut$^  5bde4a174f2c7e7e0b7de03e5574245e
      1456  .J.O,~~.}.>Ut$^.  de4a174f2c7e7e0b7de03e5574245e15
      1325  ~~.}.>Ut$^..,0].  7e7e0b7de03e5574245e15de2c305d1f
      1302  ,~~.}.>Ut$^..,0]  2c7e7e0b7de03e5574245e15de2c305d
      1128  J.O,~~.}.>Ut$^..  4a174f2c7e7e0b7de03e5574245e15de
      1102  .O,~~.}.>Ut$^..,  174f2c7e7e0b7de03e5574245e15de2c
# epoch 5750  H=6.7410 C=1.1902 HO=6.2241  A(t)=1450
      1332  [[[.J.O,~~.}.>Ut  5b5b5bde4a174f2c7e7e0b7de03e5574
      1210  [[.J.O,~~.}.>Ut$  5b5bde4a174f2c7e7e0b7de03e557424
       966  ,~~.}.>Ut$^..,0]  2c7e7e0b7de03e5574245e15de2c305d
       898  [.J.O,~~.}.>Ut$^  5bde4a174f2c7e7e0b7de03e5574245e
       892  ~~.}.>Ut$^..,0].  7e7e0b7de03e5574245e15de2c305d1f
       877  .J.O,~~.}.>Ut$^.  de4a174f2c7e7e0b7de03e5574245e15
       864  ^A*,0].$^...0].$  5e412a2c305d1f245e15de93305d1f24
       861  Bb[...]j]-m.`...  42625beaff845d6a5d2d6dae60aafaff
       859  .fBb[...]j]-m.`.  c66642625beaff845d6a5d2d6dae60aa
       858  .[[[.J.O,~~.}.>U  175b5b5bde4a174f2c7e7e0b7de03e55
