# epoch 0  H=7.9968 C=8.0032 HO=-0.0037  A(t)=0
        31  ................  b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5
        29  ................  b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1
        27  ................  1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d
        25  ................  bdbdbdbdbdbdbdbdbdbdbdbdbdbdbdbd
        24  ################  23232323232323232323232323232323
# epoch 520  H=7.9816 C=7.6465 HO=0.2837  A(t)=35
        94  ................  dededededededededededededededede
        61  ................  dbdbdbdbdbdbdbdbdbdbdbdbdbdbdbdb
        42  ................  01010101010101010101010101010101
        33  ................  c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5
        31  ................  fefefefefefefefefefefefefefefefe
        31  ................  b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5
        30  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        29  ................  b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1
        28  ................  0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b
        25  ................  bdbdbdbdbdbdbdbdbdbdbdbdbdbdbdbd
# epoch 540  H=7.9803 C=7.6418 HO=0.2968  A(t)=36
       172  ................  dededededededededededededededede
        61  ................  dbdbdbdbdbdbdbdbdbdbdbdbdbdbdbdb
        42  ................  01010101010101010101010101010101
        35  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        33  ................  c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5
        31  ................  fefefefefefefefefefefefefefefefe
        31  ................  b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5
        29  ................  b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1
        25  ................  bdbdbdbdbdbdbdbdbdbdbdbdbdbdbdbd
        25  ~~~~~~~~~~~~~~~~  7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e
# epoch 560  H=7.9794 C=7.6407 HO=0.3008  A(t)=36
       206  ................  dededededededededededededededede
        61  ................  dbdbdbdbdbdbdbdbdbdbdbdbdbdbdbdb
        41  ................  01010101010101010101010101010101
        39  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        31  ................  fefefefefefefefefefefefefefefefe
        31  ................  b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5
        29  ................  b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1
        25  ................  c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5
        25  ................  bdbdbdbdbdbdbdbdbdbdbdbdbdbdbdbd
        25  ~~~~~~~~~~~~~~~~  7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e
# epoch 580  H=7.9778 C=7.6392 HO=0.2997  A(t)=37
       242  ................  dededededededededededededededede
        61  ................  dbdbdbdbdbdbdbdbdbdbdbdbdbdbdbdb
        41  ................  01010101010101010101010101010101
        30  ................  fefefefefefefefefefefefefefefefe
        30  ................  b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5
        29  ................  b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1
        29  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        25  ................  bdbdbdbdbdbdbdbdbdbdbdbdbdbdbdbd
        25  ~~~~~~~~~~~~~~~~  7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e
        23  ################  23232323232323232323232323232323
# epoch 600  H=7.9729 C=7.6316 HO=0.2961  A(t)=38
       350  ................  dededededededededededededededede
        61  ................  dbdbdbdbdbdbdbdbdbdbdbdbdbdbdbdb
        41  ................  01010101010101010101010101010101
        30  ................  b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5
        30  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        29  ................  b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1
        25  ................  bdbdbdbdbdbdbdbdbdbdbdbdbdbdbdbd
        24  ................  fefefefefefefefefefefefefefefefe
        23  ################  23232323232323232323232323232323
        22  ~~~~~~~~~~~~~~~~  7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e
# epoch 620  H=7.9711 C=7.6265 HO=0.2993  A(t)=40
       360  ................  dededededededededededededededede
        59  ................  dbdbdbdbdbdbdbdbdbdbdbdbdbdbdbdb
        36  ................  01010101010101010101010101010101
        34  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        32  hhhhhhhhhhhhhhhh  68686868686868686868686868686868
        30  ................  b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5
        29  ................  b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1
        25  ................  bdbdbdbdbdbdbdbdbdbdbdbdbdbdbdbd
        24  ................  fefefefefefefefefefefefefefefefe
        22  ~~~~~~~~~~~~~~~~  7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e
# epoch 640  H=7.9678 C=7.5995 HO=0.3182  A(t)=43
       381  ................  dededededededededededededededede
       145  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
        59  ................  dbdbdbdbdbdbdbdbdbdbdbdbdbdbdbdb
        47  RRRRRRRRRRRRRRRR  52525252525252525252525252525252
        41  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        36  ................  01010101010101010101010101010101
        30  ................  b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5
        29  ................  b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1
        26  hhhhhhhhhhhhhhhh  68686868686868686868686868686868
        25  ................  bdbdbdbdbdbdbdbdbdbdbdbdbdbdbdbd
# epoch 660  H=7.9677 C=7.6072 HO=0.3095  A(t)=47
       343  ................  dededededededededededededededede
       143  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
        47  RRRRRRRRRRRRRRRR  52525252525252525252525252525252
        43  ................  dbdbdbdbdbdbdbdbdbdbdbdbdbdbdbdb
        43  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        30  ................  b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5
        29  ................  b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1
        26  hhhhhhhhhhhhhhhh  68686868686868686868686868686868
        24  ................  fefefefefefefefefefefefefefefefe
        22  ................  01010101010101010101010101010101
# epoch 680  H=7.9645 C=7.5981 HO=0.3148  A(t)=48
       318  ................  dededededededededededededededede
       161  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
        82  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        46  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        43  ................  dbdbdbdbdbdbdbdbdbdbdbdbdbdbdbdb
        39  RRRRRRRRRRRRRRRR  52525252525252525252525252525252
        26  hhhhhhhhhhhhhhhh  68686868686868686868686868686868
        25  ................  b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1
        22  ................  01010101010101010101010101010101
        20  ................  fefefefefefefefefefefefefefefefe
# epoch 700  H=7.9607 C=7.5869 HO=0.3285  A(t)=49
       248  ................  dededededededededededededededede
       158  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
        88  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
        86  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
