# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
      1304  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       996  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       821  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       655  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       509  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       496  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       465  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       405  9999999999999999  39393939393939393939393939393939
       259  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       249  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
# epoch 3750  H=7.6575 C=7.2870 HO=0.2932  A(t)=336
      1192  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       687  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       666  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       603  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       465  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       375  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       350  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       289  9999999999999999  39393939393939393939393939393939
       249  zzzzzzzzzzzzzzzz  7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a
       234  BBBBBBBBBBBBBBBB  42424242424242424242424242424242
# epoch 4000  H=7.6457 C=7.2925 HO=0.2813  A(t)=339
      1399  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1336  ................  01010101010101010101010101010101
       739  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       738  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       484  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       447  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       416  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       336  9999999999999999  39393939393939393939393939393939
       270  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       260  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
# epoch 4250  H=7.6307 C=7.2790 HO=0.2832  A(t)=341
      2584  ................  01010101010101010101010101010101
      1443  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       663  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       586  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       584  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       534  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       424  rrrrrrrrrrrrrrrr  72727272727272727272727272727272
       376  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       229  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       227  AAAAAAAAAAAAAAAA  41414141414141414141414141414141
# epoch 4500  H=7.6267 C=7.2820 HO=0.2768  A(t)=345
      3028  ................  01010101010101010101010101010101
       888  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       681  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       623  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       608  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       482  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       432  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       396  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       304  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       257  {{{{{{{{{{{{{{{{  7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b
# epoch 4750  H=7.6154 C=7.2787 HO=0.2680  A(t)=348
      1437  ................  00000000000000000000000000000000
       941  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       808  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       636  ................  01010101010101010101010101010101
       573  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       510  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       400  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       344  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       339  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       268  @@@@@@@@@@@@@@@@  40404040404040404040404040404040
# epoch 5000  H=7.6000 C=7.2768 HO=0.2602  A(t)=350
      1251  ................  00000000000000000000000000000000
      1013  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       947  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       856  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       664  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       580  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       267  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       262  ................  01010101010101010101010101010101
       236  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       225  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
# epoch 5250  H=7.5917 C=7.2858 HO=0.2443  A(t)=355
       808  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       793  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       728  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       672  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       608  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       338  ................  00000000000000000000000000000000
       283  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       261  ||||||||||||||||  7c7c7c7c7c7c7c7c7c7c7c7c7c7c7c7c
       258  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       239  ................  01010101010101010101010101010101
# epoch 5500  H=7.5775 C=7.2889 HO=0.2319  A(t)=355
       692  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       689  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       658  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       624  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       554  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       436  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       243  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       180  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       170  ................  ffffffffffffffffffffffffffffffff
       170  9999999999999999  39393939393939393939393939393939
# epoch 5750  H=7.5639 C=7.2897 HO=0.2190  A(t)=358
       733  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       701  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       641  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       551  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       541  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       391  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       332  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
