# epoch 0  H=7.9996 C=8.0025 HO=-0.0029  A(t)=0
# epoch 400  H=7.9859 C=7.5896 HO=0.3964  A(t)=242
       816  ................  f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9
       348  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       291  ................  9c9c9c9c9c9c9c9c9c9c9c9c9c9c9c9c
       238  ................  a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7
       234  ................  06060606060606060606060606060606
       229  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       202  ................  ffffffffffffffffffffffffffffffff
       187  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       178  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       177  ................  01010101010101010101010101010101
# epoch 420  H=7.9847 C=7.5762 HO=0.4085  A(t)=244
       718  ................  f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9
       378  ................  9c9c9c9c9c9c9c9c9c9c9c9c9c9c9c9c
       310  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       258  ................  ffffffffffffffffffffffffffffffff
       243  uuuuuuuuuuuuuuuu  75757575757575757575757575757575
       230  ................  06060606060606060606060606060606
       209  ................  fefefefefefefefefefefefefefefefe
       207  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       205  ................  a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7
       191  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
# epoch 440  H=7.9832 C=7.5681 HO=0.4151  A(t)=248
       728  ................  f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9
       360  ................  9c9c9c9c9c9c9c9c9c9c9c9c9c9c9c9c
       352  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       320  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       251  uuuuuuuuuuuuuuuu  75757575757575757575757575757575
       239  ................  ffffffffffffffffffffffffffffffff
       197  ................  06060606060606060606060606060606
       195  ................  a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7
       180  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       174  ................  fefefefefefefefefefefefefefefefe
# epoch 460  H=7.9815 C=7.5583 HO=0.4231  A(t)=251
       662  ................  f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9
       348  ................  9c9c9c9c9c9c9c9c9c9c9c9c9c9c9c9c
       348  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       294  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       242  uuuuuuuuuuuuuuuu  75757575757575757575757575757575
       222  ................  06060606060606060606060606060606
       189  ................  ffffffffffffffffffffffffffffffff
       179  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       163  ................  a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7
       160  ................  fefefefefefefefefefefefefefefefe
# epoch 480  H=7.9805 C=7.5543 HO=0.4262  A(t)=251
       643  ................  f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9
       343  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       278  ................  9c9c9c9c9c9c9c9c9c9c9c9c9c9c9c9c
       275  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       211  uuuuuuuuuuuuuuuu  75757575757575757575757575757575
       209  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       202  ................  fefefefefefefefefefefefefefefefe
       170  ................  fafafafafafafafafafafafafafafafa
       166  ................  01010101010101010101010101010101
       157  AAAAAAAAAAAAAAAA  41414141414141414141414141414141
# epoch 500  H=7.9793 C=7.5460 HO=0.4333  A(t)=254
       607  ................  f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9
       310  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       278  ................  fefefefefefefefefefefefefefefefe
       249  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       226  ................  9c9c9c9c9c9c9c9c9c9c9c9c9c9c9c9c
       191  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       179  ................  02020202020202020202020202020202
       174  uuuuuuuuuuuuuuuu  75757575757575757575757575757575
       159  ................  fbfbfbfbfbfbfbfbfbfbfbfbfbfbfbfb
       158  ................  01010101010101010101010101010101
# epoch 520  H=7.9784 C=7.5301 HO=0.4483  A(t)=258
       575  ................  f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9
       338  ................  02020202020202020202020202020202
       303  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       286  ................  fefefefefefefefefefefefefefefefe
       231  ................  01010101010101010101010101010101
       225  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       214  $$$$$$$$$$$$$$$$  24242424242424242424242424242424
       201  ................  9c9c9c9c9c9c9c9c9c9c9c9c9c9c9c9c
       183  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       161  ................  ffffffffffffffffffffffffffffffff
# epoch 540  H=7.9773 C=7.5190 HO=0.4583  A(t)=273
       516  ................  f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9
       455  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       324  ................  02020202020202020202020202020202
       255  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       253  ................  01010101010101010101010101010101
       249  ................  fefefefefefefefefefefefefefefefe
       225  $$$$$$$$$$$$$$$$  24242424242424242424242424242424
       223  ................  9c9c9c9c9c9c9c9c9c9c9c9c9c9c9c9c
       179  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       164  RRRRRRRRRRRRRRRR  52525252525252525252525252525252
# epoch 560  H=7.9763 C=7.5143 HO=0.4620  A(t)=275
       498  ................  f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9
       434  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       314  ................  02020202020202020202020202020202
       256  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       248  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       238  ................  01010101010101010101010101010101
       215  ................  fefefefefefefefefefefefefefefefe
       192  $$$$$$$$$$$$$$$$  24242424242424242424242424242424
       187  ................  9c9c9c9c9c9c9c9c9c9c9c9c9c9c9c9c
       170  AAAAAAAAAAAAAAAA  41414141414141414141414141414141
# epoch 580  H=7.9756 C=7.5126 HO=0.4629  A(t)=276
       469  ................  f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9
       426  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       267  ................  02020202020202020202020202020202
       244  ................  01010101010101010101010101010101
       227  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       218  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       215  ................  fefefefefefefefefefefefefefefefe
       189  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       179  ................  9c9c9c9c9c9c9c9c9c9c9c9c9c9c9c9c
       167  ................  06060606060606060606060606060606
# epoch 600  H=7.9748 C=7.5110 HO=0.4637  A(t)=301
       461  ................  f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9
       372  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       244  ................  02020202020202020202020202020202
       233  ................  01010101010101010101010101010101
       210  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       203  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       201  ................  fefefefefefefefefefefefefefefefe
       195  ................  ffffffffffffffffffffffffffffffff
       186  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       168  ................  9c9c9c9c9c9c9c9c9c9c9c9c9c9c9c9c
# epoch 620  H=7.9734 C=7.5092 HO=0.4642  A(t)=308
       455  ................  f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9
       389  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       241  ................  f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5
       234  ................  02020202020202020202020202020202
       230  ................  01010101010101010101010101010101
       194  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       192  ................  fefefefefefefefefefefefefefefefe
       181  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       176  ................  e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2
       167  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
# epoch 640  H=7.9722 C=7.5041 HO=0.4681  A(t)=314
       440  ................  f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9
       315  uuuuuuuuuuuuuuuu  75757575757575757575757575757575
       307  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       250  ................  91919191919191919191919191919191
       220  ................  f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5
       191  ................  02020202020202020202020202020202
       189  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       183  ................  01010101010101010101010101010101
       164  ................  fefefefefefefefefefefefefefefefe
       157  ................  9c9c9c9c9c9c9c9c9c9c9c9c9c9c9c9c
# epoch 660  H=7.9707 C=7.4963 HO=0.4744  A(t)=316
       344  ................  f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9
       334  uuuuuuuuuuuuuuuu  75757575757575757575757575757575
       271  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       245  ................  91919191919191919191919191919191
       202  ................  f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5
       189  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       182  ................  01010101010101010101010101010101
       171  ................  02020202020202020202020202020202
       155  ................  9c9c9c9c9c9c9c9c9c9c9c9c9c9c9c9c
