epoch,family,coverage,count,top_count,size,rep_hex,rep_printable,is_leader
23500,95,0.046814,5745,732,10,9d693e43d2fb4d7d2c5d936dadafc6d8,".i>C..M},].m....",0
23500,96,0.034668,11601,822,19,5a5b7ea0081f422cf004920ae3d3573e,"Z[~...B,......W>",0
23500,97,0.031738,4087,582,9,920ae3d3573ec249cb5f7d0b2c9ef820,"....W>.I._}.,.._",0
23500,98,0.028503,6339,804,11,9ef8207f5da379505858462e0d08b6ba,.._.].yPXXF.....,0
24000,56,0.099152,32024,1164,49,5bd0343b9d693e43d2fb4d7d2c5d936d,"[.4;.i>C..M},].m",0
24000,99,0.040771,8066,616,16,a1ae64377d172c5dc8a3303efc0c3f77,"..d7}.,]..0>..?w",0
24000,100,0.031189,3948,513,8,0a8f722f6bea420e524d9c5b3f2ae9d3,..r/k.B.RM.[?*..,0
24000,101,0.029877,5253,486,12,6ef2697e15611e64c61d5bd689b554ad,n.i~.a.d..[...T.,0
24000,102,0.026978,3330,442,8,11ca3e5c39eea47d8f2c5d2339ff6a05,"..>\9..}.,]#9.j.",0
24000,103,0.026001,2919,676,6,a0320f5e9281a3d4e008455e301f0411,.2.^......E^0...,0
24500,95,0.034241,9379,739,15,3e43d2fb4d7d2c5d936dadafc6d8307c,">C..M},].m....0|",0
24500,104,0.03241,6447,564,15,4664377d442c5dc8c70215b637c05887,"Fd7}D,].....7.X.",0
24500,105,0.032196,5418,834,9,8d7093bc92dfcf585e564e014628e55d,.p.....X^VN.F(.],0
24500,106,0.029816,8529,859,13,0e6c5c3eadaf71907d2ccaca673578df,".l\>..q.},..g5x.",0
24500,107,0.026825,5367,445,13,f237a269830e5b45a7087f58ad170456,.7.i..[E...X...V,0
24500,108,0.025543,11151,762,21,8ccb8504f2afeb5b6abacac2ded7d4d6,.......[j.......,0
25000,109,0.081329,20748,1094,35,907d2cca56673578df94e5c85d8a09d4,".},.Vg5x....]...",0
25000,110,0.049622,3736,637,7,a05b0c790e6c5c3eadaf71b27d2ccaca,".[.y.l\>..q.},..",0
25000,111,0.039032,8102,575,16,3fffe542ffe5fe71357015c9777a3ff2,?..B...q5p..wz?.,0
25000,112,0.034607,13628,1008,17,cee985d55bf1c891d323b7e0f537e5df,....[....#...7..,0
25000,113,0.034515,8671,558,17,afb0b328cda05b0c793a6c5c3eadaf71,...(..[.y:l\>..q,0
25000,114,0.0336,4632,602,9,c9777a3ff2df32afb0b328cda05b0c79,.wz?..2...(..[.y,0
25500,115,0.034668,8623,824,13,2ce45eff10c11d1bbb853fffdc7dfe0d,",.^.......?..}..",0
