# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
        87  ________________  5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f
        83  ................  fefefefefefefefefefefefefefefefe
# epoch 4000  H=7.8029 C=7.5990 HO=0.1356  A(t)=305
       625  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       534  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       291  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       260  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       204  ................  01010101010101010101010101010101
       182  ................  02020202020202020202020202020202
       170  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       144  ................  fefefefefefefefefefefefefefefefe
       119  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       110  ................  ffffffffffffffffffffffffffffffff
# epoch 4250  H=7.8008 C=7.5866 HO=0.1498  A(t)=311
       946  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       571  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       356  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       180  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       173  ................  01010101010101010101010101010101
       171  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       131  ////////////////  2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f
       124  {{{{{{{{{{{{{{{{  7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b
       121  ................  03030303030303030303030303030303
       113  1111111111111111  31313131313131313131313131313131
# epoch 4500  H=7.7942 C=7.5721 HO=0.1529  A(t)=311
       738  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       622  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       458  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       249  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       164  ................  03030303030303030303030303030303
       137  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       134  ................  1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e
       116  """"""""""""""""  22222222222222222222222222222222
       104  ****************  2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a
       100  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
# epoch 4750  H=7.7845 C=7.5577 HO=0.1609  A(t)=311
       567  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       533  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       499  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       198  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       167  ................  c9c9c9c9c9c9c9c9c9c9c9c9c9c9c9c9
       162  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       155  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
       142  ................  ffffffffffffffffffffffffffffffff
       140  ................  01010101010101010101010101010101
       125  ................  02020202020202020202020202020202
# epoch 5000  H=7.7810 C=7.5684 HO=0.1486  A(t)=311
       686  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       416  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       240  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       200  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       189  ................  01010101010101010101010101010101
       174  ................  02020202020202020202020202020202
       142  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       134  ................  fefefefefefefefefefefefefefefefe
       106  ................  fdfdfdfdfdfdfdfdfdfdfdfdfdfdfdfd
       105  ''''''''''''''''  27272727272727272727272727272727
# epoch 5250  H=7.7823 C=7.5586 HO=0.1542  A(t)=311
       667  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       402  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       299  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       251  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       210  ................  01010101010101010101010101010101
       147  WWWWWWWWWWWWWWWW  57575757575757575757575757575757
       129  3333333333333333  33333333333333333333333333333333
       125  ................  03030303030303030303030303030303
       121  ................  fefefefefefefefefefefefefefefefe
       116  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
# epoch 5500  H=7.7779 C=7.5556 HO=0.1549  A(t)=311
       590  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       443  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       428  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       221  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       213  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       156  YYYYYYYYYYYYYYYY  59595959595959595959595959595959
       149  ))))))))))))))))  29292929292929292929292929292929
       139  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       133  ((((((((((((((((  28282828282828282828282828282828
       121  ................  01010101010101010101010101010101
# epoch 5750  H=7.7767 C=7.5524 HO=0.1553  A(t)=311
       749  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       575  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       499  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       228  ................  01010101010101010101010101010101
       222  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       150  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       142  ................  02020202020202020202020202020202
       138  1111111111111111  31313131313131313131313131313131
       130  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       127  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
# epoch 6000  H=7.7695 C=7.5526 HO=0.1526  A(t)=311
       951  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       554  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       352  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       215  ................  04040404040404040404040404040404
       209  ................  01010101010101010101010101010101
       188  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       171  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       167  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       125  ................  f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6
       121  ................  abababababababababababababababab
# epoch 6250  H=7.7723 C=7.5597 HO=0.1503  A(t)=312
       587  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       575  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       514  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       208  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       135  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
       132  ................  02020202020202020202020202020202
       130  ................  f1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f1
       128  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       127  ................  07070707070707070707070707070707
       104  ................  f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3
# epoch 6500  H=7.7689 C=7.5615 HO=0.1450  A(t)=312
       723  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       498  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       457  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       295  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       269  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       119  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       119  ----------------  2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
       118  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       117  ................  1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f
       114  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
# epoch 6750  H=7.7658 C=7.5535 HO=0.1480  A(t)=312
       662  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       562  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       321  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       238  ................  ffffffffffffffffffffffffffffffff
       220  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       205  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       141  ................  01010101010101010101010101010101
       138  pppppppppppppppp  70707070707070707070707070707070
       133  1111111111111111  31313131313131313131313131313131
       129  ................  84848484848484848484848484848484
# epoch 7000  H=7.7661 C=7.5510 HO=0.1525  A(t)=312
       720  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       605  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       568  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       165  ................  01010101010101010101010101010101
       159  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       147  1111111111111111  31313131313131313131313131313131
       130  ................  ffffffffffffffffffffffffffffffff
       123  ----------------  2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
       119  7777777777777777  37373737373737373737373737373737
       113  ////////////////  2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f
# epoch 7250  H=7.7694 C=7.5630 HO=0.1440  A(t)=312
       606  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       439  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       402  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       226  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       225  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       152  ................  ffffffffffffffffffffffffffffffff
       148  ................  01010101010101010101010101010101
       134  3333333333333333  33333333333333333333333333333333
       133  ((((((((((((((((  28282828282828282828282828282828
       104  ................  9d9d9d9d9d9d9d9d9d9d9d9d9d9d9d9d
# epoch 7500  H=7.7757 C=7.5738 HO=0.1369  A(t)=312
       630  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       583  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       417  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       163  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       160  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
       150  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       109  ................  ffffffffffffffffffffffffffffffff
       106  ////////////////  2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f
       103  ((((((((((((((((  28282828282828282828282828282828
       101  ................  01010101010101010101010101010101
# epoch 7750  H=7.7779 C=7.5661 HO=0.1457  A(t)=312
       571  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       517  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
