# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
       325  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       159  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       158  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       136  ffffffffffffffff  66666666666666666666666666666666
       122  ++++++++++++++++  2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b
       114  ................  07070707070707070707070707070707
       110  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       104  ................  01010101010101010101010101010101
# epoch 4500  H=7.7918 C=7.5807 HO=0.1463  A(t)=303
       700  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       624  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       582  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       172  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       167  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       153  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       137  ................  01010101010101010101010101010101
       109  ................  03030303030303030303030303030303
       102  ||||||||||||||||  7c7c7c7c7c7c7c7c7c7c7c7c7c7c7c7c
       100  ++++++++++++++++  2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b
# epoch 4750  H=7.7848 C=7.5773 HO=0.1403  A(t)=304
       767  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       516  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       338  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       190  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       143  ................  ffffffffffffffffffffffffffffffff
       139  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       127  NNNNNNNNNNNNNNNN  4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e
       112  ................  fefefefefefefefefefefefefefefefe
       100  0000000000000000  30303030303030303030303030303030
        99  ||||||||||||||||  7c7c7c7c7c7c7c7c7c7c7c7c7c7c7c7c
# epoch 5000  H=7.7823 C=7.5695 HO=0.1467  A(t)=307
       588  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       514  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       437  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       244  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       185  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       176  ................  01010101010101010101010101010101
       142  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
       126  ................  02020202020202020202020202020202
       118  ................  ffffffffffffffffffffffffffffffff
       115  ________________  20202020202020202020202020202020
# epoch 5250  H=7.7813 C=7.5713 HO=0.1452  A(t)=310
       606  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       459  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       435  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       174  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       167  ................  fefefefefefefefefefefefefefefefe
       153  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       148  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
       115  zzzzzzzzzzzzzzzz  7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a
       113  ////////////////  2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f
       113  ................  02020202020202020202020202020202
# epoch 5500  H=7.7803 C=7.5728 HO=0.1406  A(t)=311
       630  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       570  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       502  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       203  ................  01010101010101010101010101010101
       184  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       139  ................  02020202020202020202020202020202
       126  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       116  ................  fefefefefefefefefefefefefefefefe
       112  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       109  ................  06060606060606060606060606060606
# epoch 5750  H=7.7755 C=7.5524 HO=0.1554  A(t)=312
       563  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       521  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       461  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       198  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       155  ................  fefefefefefefefefefefefefefefefe
       153  ................  01010101010101010101010101010101
       152  ................  eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee
       150  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
       145  ////////////////  2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f
       142  ................  07070707070707070707070707070707
# epoch 6000  H=7.7723 C=7.5543 HO=0.1492  A(t)=312
       740  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       634  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       291  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       250  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       248  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       243  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       127  ................  d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5
       120  ))))))))))))))))  29292929292929292929292929292929
       118  ................  fefefefefefefefefefefefefefefefe
       105  ................  fdfdfdfdfdfdfdfdfdfdfdfdfdfdfdfd
# epoch 6250  H=7.7763 C=7.5585 HO=0.1520  A(t)=312
       716  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       611  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       376  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       215  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       212  ................  01010101010101010101010101010101
       165  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       131  ................  02020202020202020202020202020202
       126  ................  03030303030303030303030303030303
       125  ................  c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5
       116  ----------------  2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
# epoch 6500  H=7.7754 C=7.5574 HO=0.1509  A(t)=313
       509  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       497  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       467  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       300  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       215  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       185  ................  01010101010101010101010101010101
       113  YYYYYYYYYYYYYYYY  59595959595959595959595959595959
       103  {{{{{{{{{{{{{{{{  7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b
       101  FFFFFFFFFFFFFFFF  46464646464646464646464646464646
        98  ________________  20202020202020202020202020202020
# epoch 6750  H=7.7678 C=7.5418 HO=0.1594  A(t)=313
       732  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       639  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       617  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       177  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       139  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       109  ................  85858585858585858585858585858585
       103  YYYYYYYYYYYYYYYY  59595959595959595959595959595959
       101  ................  01010101010101010101010101010101
        98  ................  f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0
        96  ________________  5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f
# epoch 7000  H=7.7653 C=7.5342 HO=0.1670  A(t)=313
       677  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       502  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       464  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       295  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       241  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       188  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       148  ................  01010101010101010101010101010101
       144  ................  9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b
       134  %%%%%%%%%%%%%%%%  25252525252525252525252525252525
       130  ................  02020202020202020202020202020202
# epoch 7250  H=7.7587 C=7.5171 HO=0.1745  A(t)=314
       801  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       753  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       334  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       285  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       234  ................  01010101010101010101010101010101
       216  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       175  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       153  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       137  VVVVVVVVVVVVVVVV  56565656565656565656565656565656
       126  ................  07070707070707070707070707070707
# epoch 7500  H=7.7540 C=7.5226 HO=0.1646  A(t)=314
       755  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       501  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       406  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       307  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       282  ................  01010101010101010101010101010101
       228  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       174  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       153  ................  fefefefefefefefefefefefefefefefe
       129  ................  d9d9d9d9d9d9d9d9d9d9d9d9d9d9d9d9
       112  YYYYYYYYYYYYYYYY  59595959595959595959595959595959
# epoch 7750  H=7.7563 C=7.5370 HO=0.1521  A(t)=316
       643  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
