# epoch 0  H=7.9996 C=8.0025 HO=-0.0030  A(t)=0
# epoch 300  H=7.9923 C=7.6151 HO=0.3772  A(t)=235
       442  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       257  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       235  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       184  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       172  ................  bdbdbdbdbdbdbdbdbdbdbdbdbdbdbdbd
       167  ................  1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f
       160  4444444444444444  34343434343434343434343434343434
       155  ................  01010101010101010101010101010101
       147  XXXXXXXXXXXXXXXX  58585858585858585858585858585858
       142  $$$$$$$$$$$$$$$$  24242424242424242424242424242424
# epoch 320  H=7.9915 C=7.6069 HO=0.3846  A(t)=241
       499  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       257  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       217  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       185  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       184  ................  01010101010101010101010101010101
       165  ................  bdbdbdbdbdbdbdbdbdbdbdbdbdbdbdbd
       165  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       150  ................  1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f
       147  XXXXXXXXXXXXXXXX  58585858585858585858585858585858
       146  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
# epoch 340  H=7.9906 C=7.6074 HO=0.3833  A(t)=247
       504  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       246  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       222  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       180  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       164  ................  bdbdbdbdbdbdbdbdbdbdbdbdbdbdbdbd
       150  ................  1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f
       148  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       133  ................  01010101010101010101010101010101
       130  XXXXXXXXXXXXXXXX  58585858585858585858585858585858
       130  ................  02020202020202020202020202020202
# epoch 360  H=7.9888 C=7.5924 HO=0.3965  A(t)=249
       589  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       419  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       255  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       193  ................  01010101010101010101010101010101
       162  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       159  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       155  ................  bdbdbdbdbdbdbdbdbdbdbdbdbdbdbdbd
       147  ................  15151515151515151515151515151515
       143  ................  e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2
       126  ................  02020202020202020202020202020202
# epoch 380  H=7.9880 C=7.5905 HO=0.3976  A(t)=254
       705  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       368  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       231  ................  01010101010101010101010101010101
       226  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       158  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       153  ................  bdbdbdbdbdbdbdbdbdbdbdbdbdbdbdbd
       149  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       147  ................  15151515151515151515151515151515
       124  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       123  ................  e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2
# epoch 400  H=7.9864 C=7.5725 HO=0.4139  A(t)=256
       838  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       424  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       226  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       213  ................  01010101010101010101010101010101
       156  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       152  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
       141  ................  bdbdbdbdbdbdbdbdbdbdbdbdbdbdbdbd
