# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
       121  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       118  ````````````````  60606060606060606060606060606060
       111  ................  03030303030303030303030303030303
       102  ................  06060606060606060606060606060606
# epoch 6250  H=7.7651 C=7.5342 HO=0.1647  A(t)=315
       549  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       482  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       473  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       224  xxxxxxxxxxxxxxxx  78787878787878787878787878787878
       154  ................  ffffffffffffffffffffffffffffffff
       122  ................  1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f
       113  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       112  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       106  ................  02020202020202020202020202020202
       103  ////////////////  2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f
# epoch 6500  H=7.7597 C=7.5369 HO=0.1574  A(t)=315
       633  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       574  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       278  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       246  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       179  ................  0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b
       167  ////////////////  2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f
       113  ................  ffffffffffffffffffffffffffffffff
       109  ................  01010101010101010101010101010101
       100  UUUUUUUUUUUUUUUU  55555555555555555555555555555555
        95  yyyyyyyyyyyyyyyy  79797979797979797979797979797979
# epoch 6750  H=7.7594 C=7.5389 HO=0.1546  A(t)=315
       647  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
