# epoch 0  H=7.9996 C=8.0025 HO=-0.0029  A(t)=0
       212  OOOOOOOOOOOOOOOO  4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f
       209  ................  ebebebebebebebebebebebebebebebeb
       193  ................  97979797979797979797979797979797
       181  ................  0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a
# epoch 380  H=7.9883 C=7.5153 HO=0.4730  A(t)=257
       416  ----------------  2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
       334  3333333333333333  33333333333333333333333333333333
       270  ................  ffffffffffffffffffffffffffffffff
       269  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       253  ................  01010101010101010101010101010101
       249  pppppppppppppppp  70707070707070707070707070707070
       213  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       200  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       198  OOOOOOOOOOOOOOOO  4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f
       196  CCCCCCCCCCCCCCCC  43434343434343434343434343434343
# epoch 400  H=7.9877 C=7.5033 HO=0.4844  A(t)=261
       431  3333333333333333  33333333333333333333333333333333
       390  ----------------  2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
       353  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       253  ................  01010101010101010101010101010101
       250  ................  ffffffffffffffffffffffffffffffff
       229  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       220  pppppppppppppppp  70707070707070707070707070707070
       200  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       197  OOOOOOOOOOOOOOOO  4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f
       190  CCCCCCCCCCCCCCCC  43434343434343434343434343434343
# epoch 420  H=7.9868 C=7.4978 HO=0.4890  A(t)=263
       382  ----------------  2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
       335  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       335  3333333333333333  33333333333333333333333333333333
       264  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       236  ................  01010101010101010101010101010101
       226  ................  ffffffffffffffffffffffffffffffff
       220  pppppppppppppppp  70707070707070707070707070707070
       193  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       190  CCCCCCCCCCCCCCCC  43434343434343434343434343434343
       186  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
# epoch 440  H=7.9849 C=7.4875 HO=0.4974  A(t)=263
       501  ----------------  2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
       354  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       305  3333333333333333  33333333333333333333333333333333
       262  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       261  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       247  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       217  ................  0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e
       212  ................  ffffffffffffffffffffffffffffffff
       207  ................  01010101010101010101010101010101
       196  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
# epoch 460  H=7.9839 C=7.4854 HO=0.4985  A(t)=265
       468  ----------------  2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
       342  3333333333333333  33333333333333333333333333333333
       336  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       272  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       268  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       241  ................  ffffffffffffffffffffffffffffffff
       241  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       199  ................  01010101010101010101010101010101
       193  ................  0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e
       181  pppppppppppppppp  70707070707070707070707070707070
# epoch 480  H=7.9825 C=7.4815 HO=0.5010  A(t)=265
       412  ----------------  2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
       325  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       301  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       300  3333333333333333  33333333333333333333333333333333
       280  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       235  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       235  ................  01010101010101010101010101010101
       210  ................  ffffffffffffffffffffffffffffffff
       200  ................  ebebebebebebebebebebebebebebebeb
       186  ................  edededededededededededededededed
# epoch 500  H=7.9808 C=7.4713 HO=0.5095  A(t)=271
       395  ----------------  2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
       395  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       391  ................  01010101010101010101010101010101
       382  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       278  3333333333333333  33333333333333333333333333333333
       276  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       249  CCCCCCCCCCCCCCCC  43434343434343434343434343434343
       219  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       216  ................  ffffffffffffffffffffffffffffffff
       174  ................  ebebebebebebebebebebebebebebebeb
# epoch 520  H=7.9788 C=7.4642 HO=0.5146  A(t)=276
       423  ................  01010101010101010101010101010101
       394  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       368  ----------------  2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
       327  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       266  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       236  CCCCCCCCCCCCCCCC  43434343434343434343434343434343
       232  3333333333333333  33333333333333333333333333333333
       216  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       187  ................  08080808080808080808080808080808
       177  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
# epoch 540  H=7.9780 C=7.4572 HO=0.5208  A(t)=277
       437  ................  01010101010101010101010101010101
       350  ----------------  2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
       337  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       317  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       301  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       224  3333333333333333  33333333333333333333333333333333
       215  ................  08080808080808080808080808080808
       195  CCCCCCCCCCCCCCCC  43434343434343434343434343434343
       194  ................  06060606060606060606060606060606
       187  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
# epoch 560  H=7.9767 C=7.4578 HO=0.5189  A(t)=279
       399  ................  01010101010101010101010101010101
       334  ----------------  2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
       314  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       285  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       269  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       216  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       215  CCCCCCCCCCCCCCCC  43434343434343434343434343434343
       199  ................  08080808080808080808080808080808
       197  3333333333333333  33333333333333333333333333333333
       179  ................  ffffffffffffffffffffffffffffffff
# epoch 580  H=7.9741 C=7.4518 HO=0.5223  A(t)=283
       407  ................  01010101010101010101010101010101
       306  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       290  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       271  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       246  ----------------  2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
       245  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       240  ................  08080808080808080808080808080808
       197  CCCCCCCCCCCCCCCC  43434343434343434343434343434343
       163  3333333333333333  33333333333333333333333333333333
       156  ................  06060606060606060606060606060606
# epoch 600  H=7.9729 C=7.4495 HO=0.5234  A(t)=283
       352  ................  01010101010101010101010101010101
       315  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       284  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       277  ................  06060606060606060606060606060606
       248  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       235  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       212  3333333333333333  33333333333333333333333333333333
       211  ----------------  2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
       203  ................  08080808080808080808080808080808
       182  CCCCCCCCCCCCCCCC  43434343434343434343434343434343
# epoch 620  H=7.9703 C=7.4373 HO=0.5330  A(t)=285
       479  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       352  ................  01010101010101010101010101010101
       336  3333333333333333  33333333333333333333333333333333
       321  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       240  ................  06060606060606060606060606060606
       236  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       222  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       196  ----------------  2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
       192  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       179  ................  08080808080808080808080808080808
# epoch 640  H=7.9674 C=7.4210 HO=0.5464  A(t)=285
       735  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       334  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       310  3333333333333333  33333333333333333333333333333333
       306  ................  01010101010101010101010101010101
       249  ................  09090909090909090909090909090909
       220  ................  06060606060606060606060606060606
       185  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       184  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       180  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       176  ----------------  2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
# epoch 660  H=7.9655 C=7.4182 HO=0.5473  A(t)=286
       894  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       309  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       308  ................  01010101010101010101010101010101
       278  ................  09090909090909090909090909090909
       259  3333333333333333  33333333333333333333333333333333
       245  ................  ffffffffffffffffffffffffffffffff
       197  ----------------  2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
       193  ................  06060606060606060606060606060606
       174  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       173  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
# epoch 680  H=7.9620 C=7.4138 HO=0.5482  A(t)=310
      1238  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       317  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       297  ................  01010101010101010101010101010101
       249  ................  09090909090909090909090909090909
       241  ................  ffffffffffffffffffffffffffffffff
       232  3333333333333333  33333333333333333333333333333333
