# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
       108  ................  03030303030303030303030303030303
# epoch 5000  H=7.7881 C=7.5829 HO=0.1407  A(t)=311
       772  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       651  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       418  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       176  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       170  9999999999999999  39393939393939393939393939393939
       168  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       124  ................  82828282828282828282828282828282
       113  SSSSSSSSSSSSSSSS  53535353535353535353535353535353
       105  CCCCCCCCCCCCCCCC  43434343434343434343434343434343
       100  ****************  2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a
# epoch 5250  H=7.7877 C=7.5785 HO=0.1452  A(t)=311
       566  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       552  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       289  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       207  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       143  llllllllllllllll  6c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6c
       125  ................  01010101010101010101010101010101
       119  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       109  7777777777777777  37373737373737373737373737373737
       108  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       105  1111111111111111  31313131313131313131313131313131
# epoch 5500  H=7.7895 C=7.5859 HO=0.1390  A(t)=313
       661  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       450  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       409  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       164  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       143  ................  81818181818181818181818181818181
       142  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       114  ++++++++++++++++  2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b
       107  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       104  ################  23232323232323232323232323232323
       103  ................  ffffffffffffffffffffffffffffffff
# epoch 5750  H=7.7879 C=7.5720 HO=0.1467  A(t)=314
