# epoch 0  H=7.9971 C=8.0032 HO=-0.0034  A(t)=0
# epoch 6750  H=6.8740 C=6.7156 HO=0.3156  A(t)=13
      1640  ................  01010101010101010101010101010101
       330  ................  00000000000000000000000000000000
        16  ...............,  0101010101010101010101010101012c
        11  ................  01010101010101010101010101010100
         8  ..............,.  01010101010101010101010101012c01
         8  ................  01010101010101010101010101010001
         8  ................  01010101010101010101010101000101
         8  ................  00010101010101010101010101010101
         7  ................  02010101010101010101010101010101
         6  .............,..  010101010101010101010101012c0101
# epoch 7000  H=6.8520 C=6.6561 HO=0.3555  A(t)=13
      1803  ................  01010101010101010101010101010101
       300  ................  00000000000000000000000000000000
        34  ................  e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
        28  eeeeeeeeeeeeeeee  65656565656565656565656565656565
        25  7777777777777777  37373737373737373737373737373737
        19  ................  fafafafafafafafafafafafafafafafa
        15  ................  a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
        14  ...............,  0101010101010101010101010101012c
         8  ................  01010101010101010101010101010100
         6  ..............,.  01010101010101010101010101012c01
# epoch 7250  H=6.7838 C=6.6045 HO=0.3240  A(t)=13
      1958  ................  01010101010101010101010101010101
       347  ................  00000000000000000000000000000000
        23  ................  e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
        19  ...............,  0101010101010101010101010101012c
         9  .............,..  010101010101010101010101012c0101
         9  ..............,.  01010101010101010101010101012c01
         5  ................  fafafafafafafafafafafafafafafafa
         5  ...........,....  01010101010101010101012c01010101
         5  ............,...  0101010101010101010101012c010101
         5  ................  01010101010001010101010101010101
# epoch 7500  H=6.7739 C=6.5869 HO=0.3460  A(t)=13
      1858  ................  01010101010101010101010101010101
       333  ................  00000000000000000000000000000000
        28  ................  fefefefefefefefefefefefefefefefe
        15  ...............,  0101010101010101010101010101012c
         9  ................  d4d4d4d4d4d4d4d4d4d4d4d4d4d4d4d4
         7  DDDDDDDDDDDDDDDD  44444444444444444444444444444444
         6  ..............,.  01010101010101010101010101012c01
         6  ................  01010101010101010101010101010102
         5  ................  fafafafafafafafafafafafafafafafa
         5  ................  01010101010101010101010101010201
# epoch 7750  H=6.7280 C=6.5074 HO=0.3829  A(t)=16
      1660  ................  01010101010101010101010101010101
       538  ................  00000000000000000000000000000000
       133  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        45  ................  a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5
        25  ................  94949494949494949494949494949494
        19  ...............,  0101010101010101010101010101012c
        14  ''''''''''''''''  27272727272727272727272727272727
        12  ................  fefefefefefefefefefefefefefefefe
         7  DDDDDDDDDDDDDDDD  44444444444444444444444444444444
         7  ................  01010101010101010101010001010101
# epoch 8000  H=6.6345 C=6.4097 HO=0.3737  A(t)=16
      1896  ................  01010101010101010101010101010101
       881  ................  00000000000000000000000000000000
        29  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        24  ................  a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5
        16  ...............,  0101010101010101010101010101012c
         8  ................  02010101010101010101010101010101
         8  ..............,.  01010101010101010101010101012c01
         8  ................  0000000000000000000000000000002e
         7  ................  01010101010101010101010101010102
         6  ................  010101010101010101010101010101ff
# epoch 8250  H=6.5625 C=6.3086 HO=0.3988  A(t)=18
      2081  ................  01010101010101010101010101010101
      1314  ................  00000000000000000000000000000000
        18  ...............,  0101010101010101010101010101012c
         8  ................  01010101010101010101010101010102
         7  ................  ff000000000000000000000000000000
         7  ................  0000ff00000000000000000000000000
         6  ..............,.  01010101010101010101010101012c01
         6  ................  01010101010101010101010101010202
         6  ................  00ff0000000000000000000000000000
         6  ................  00000000ff0000000000000000000000
# epoch 8500  H=6.5186 C=6.2614 HO=0.3964  A(t)=19
      2090  ................  01010101010101010101010101010101
      1385  ................  00000000000000000000000000000000
        30  ................  a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7
        20  ...............,  0101010101010101010101010101012c
        10  ..............,.  01010101010101010101010101012c01
         9  ................  0000000000000000000000000000002e
         8  ................  02010101010101010101010101010101
         8  .............,..  010101010101010101010101012c0101
         6  ................  01010101010101010101010101010102
         6  ................  01010101010101010101010101010100
# epoch 8750  H=6.4970 C=6.2567 HO=0.3857  A(t)=20
      2012  ................  01010101010101010101010101010101
      1262  ................  00000000000000000000000000000000
        15  ...............,  0101010101010101010101010101012c
         8  ..............,.  01010101010101010101010101012c01
         8  ................  01010101010101010101010101010100
         8  ................  01010101010101010101010100010101
         8  ................  01010101010101010101010001010101
         8  ................  01010101010101010101000101010101
         8  ................  00010101010101010101010101010101
         7  .............,..  010101010101010101010101012c0101
# epoch 9000  H=6.4575 C=6.2200 HO=0.3684  A(t)=21
      2468  ................  01010101010101010101010101010101
      1125  ................  00000000000000000000000000000000
        21  ...............,  0101010101010101010101010101012c
        13  ..............,.  01010101010101010101010101012c01
         8  .............,..  010101010101010101010101012c0101
         6  ................  02010101010101010101010101010101
         6  ................  01010101010101010101010101010102
         5  .[..............  015b0101010101010101010101010101
         5  ...........,....  01010101010101010101012c01010101
         5  ............,...  0101010101010101010101012c010101
# epoch 9250  H=6.4559 C=6.2096 HO=0.3742  A(t)=22
      2558  ................  01010101010101010101010101010101
      1156  ................  00000000000000000000000000000000
        22  ...............,  0101010101010101010101010101012c
        12  ................  92929292929292929292929292929292
        12  ..............,.  01010101010101010101010101012c01
         9  ................  02010101010101010101010101010101
         8  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
         7  .............,..  010101010101010101010101012c0101
         6  ................  9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b
         6  ............,...  0101010101010101010101012c010101
# epoch 9500  H=6.4581 C=6.2245 HO=0.3619  A(t)=22
      2349  ................  01010101010101010101010101010101
      1116  ................  00000000000000000000000000000000
        23  ...............,  0101010101010101010101010101012c
        17  WWWWWWWWWWWWWWWW  57575757575757575757575757575757
        15  ................  8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b
         8  ................  02010101010101010101010101010101
         8  ..............,.  01010101010101010101010101012c01
         8  ................  01000000000000000000000000000000
         8  ................  00000000000000000000000000000001
         7  ................  01010101010101010101010101010102
# epoch 9750  H=6.4741 C=6.2003 HO=0.3928  A(t)=23
      1869  ................  01010101010101010101010101010101
      1337  ................  00000000000000000000000000000000
        77  TTTTTTTTTTTTTTTT  54545454545454545454545454545454
