# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
       348  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       219  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       208  ................  01010101010101010101010101010101
       185  ................  ffffffffffffffffffffffffffffffff
       141  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       139  ................  fdfdfdfdfdfdfdfdfdfdfdfdfdfdfdfd
       131  ................  84848484848484848484848484848484
       114  llllllllllllllll  6c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6c
# epoch 6000  H=7.7749 C=7.5664 HO=0.1488  A(t)=310
       663  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       614  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       450  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       177  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       153  ................  01010101010101010101010101010101
       124  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       117  ________________  5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f
       117  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
       116  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       106  IIIIIIIIIIIIIIII  49494949494949494949494949494949
# epoch 6250  H=7.7785 C=7.5633 HO=0.1491  A(t)=311
       524  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       504  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       307  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       168  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       163  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       129  ................  ffffffffffffffffffffffffffffffff
       116  ................  fefefefefefefefefefefefefefefefe
       116  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       116  @@@@@@@@@@@@@@@@  40404040404040404040404040404040
       114  ................  01010101010101010101010101010101
# epoch 6500  H=7.7739 C=7.5617 HO=0.1477  A(t)=312
       524  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       505  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       315  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       282  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       218  ................  01010101010101010101010101010101
       193  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       142  ................  10101010101010101010101010101010
       135  ................  ffffffffffffffffffffffffffffffff
       119  ................  f1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f1
       116  @@@@@@@@@@@@@@@@  40404040404040404040404040404040
# epoch 6750  H=7.7741 C=7.5611 HO=0.1534  A(t)=312
       609  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       554  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       237  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       221  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       186  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       142  ................  fefefefefefefefefefefefefefefefe
       138  ................  04040404040404040404040404040404
       127  ................  eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee
       121  """"""""""""""""  22222222222222222222222222222222
       113  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
# epoch 7000  H=7.7672 C=7.5456 HO=0.1561  A(t)=312
       856  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       538  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       526  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       197  ................  01010101010101010101010101010101
       189  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
       181  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       163  ................  8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c
       139  NNNNNNNNNNNNNNNN  4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e
       126  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       117  ................  83838383838383838383838383838383
# epoch 7250  H=7.7650 C=7.5292 HO=0.1724  A(t)=312
       577  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       555  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       383  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       348  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       161  ................  fefefefefefefefefefefefefefefefe
       146  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       142  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       133  ................  03030303030303030303030303030303
       110  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       109  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
# epoch 7500  H=7.7645 C=7.5422 HO=0.1576  A(t)=312
       508  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       471  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       452  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       206  ................  02020202020202020202020202020202
       194  ................  ffffffffffffffffffffffffffffffff
       186  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       183  ................  01010101010101010101010101010101
       168  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       137  ................  fefefefefefefefefefefefefefefefe
       124  5555555555555555  35353535353535353535353535353535
# epoch 7750  H=7.7614 C=7.5441 HO=0.1545  A(t)=313
       756  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       571  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
