# epoch 0  H=7.9971 C=8.0032 HO=-0.0060  A(t)=0
        36  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        27  {{{{{{{{{{{{{{{{  7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b
        25  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        19  PPPPPPPPPPPPPPPP  50505050505050505050505050505050
        14  ................  87878787878787878787878787878787
# epoch 800  H=7.8246 C=7.0447 HO=0.7799  A(t)=23
       119  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        43  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        42  ________________  20202020202020202020202020202020
        41  ................  88888888888888888888888888888888
        41  ................  00000000000000000000000000000000
        32  ................  b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
        28  ssssssssssssssss  73737373737373737373737373737373
        19  PPPPPPPPPPPPPPPP  50505050505050505050505050505050
        17  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        13  {{{{{{{{{{{{{{{{  7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b
# epoch 850  H=7.7932 C=6.9882 HO=0.8050  A(t)=26
       319  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        42  ________________  20202020202020202020202020202020
        42  ................  00000000000000000000000000000000
        32  ................  b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
        28  ssssssssssssssss  73737373737373737373737373737373
        23  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        20  ................  88888888888888888888888888888888
        17  ................  93939393939393939393939393939393
        17  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        14  PPPPPPPPPPPPPPPP  50505050505050505050505050505050
# epoch 900  H=7.7714 C=6.9564 HO=0.8150  A(t)=27
       338  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        68  ................  8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d
        40  ________________  20202020202020202020202020202020
        32  ................  f602f602f602f602f602f602f602f602
        32  ................  b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
        32  ................  02f602f602f602f602f602f602f602f6
        23  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        20  ................  88888888888888888888888888888888
        18  ssssssssssssssss  73737373737373737373737373737373
        18  ................  00000000000000000000000000000000
# epoch 950  H=7.7467 C=6.9176 HO=0.8291  A(t)=28
       360  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        93  ................  09090909090909090909090909090909
        32  ................  b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
        31  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        24  ................  f602f602f602f602f602f602f602f602
        24  ________________  20202020202020202020202020202020
        24  ................  02f602f602f602f602f602f602f602f6
        23  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        12  ................  bfbfbfbfbfbfbfbfbfbfbfbfbfbfbfbf
        11  PPPPPPPPPPPPPPPP  50505050505050505050505050505050
# epoch 1000  H=7.7096 C=6.8694 HO=0.8402  A(t)=31
       402  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        69  ................  9f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9f
        55  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        25  ................  87878787878787878787878787878787
        23  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        16  ................  b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
        16  ________________  20202020202020202020202020202020
        13  ................  02f602f602f602f602f602f602f602f6
        12  ................  f602f602f602f602f602f602f602f602
        12  kkkkkkkkkkkkkkkk  6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b
# epoch 1050  H=7.6566 C=6.7854 HO=0.8712  A(t)=31
       543  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        68  ................  9f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9f
        44  dddddddddddddddd  64646464646464646464646464646464
        34  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        33  ................  b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
        23  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        15  ________________  20202020202020202020202020202020
        13  ................  02f602f602f602f602f602f602f602f6
        12  ................  f602f602f602f602f602f602f602f602
        12  ................  d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1
# epoch 1100  H=7.5816 C=6.7011 HO=0.8806  A(t)=37
       743  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        80  dddddddddddddddd  64646464646464646464646464646464
        65  ................  9f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9f
        33  ................  b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
        29  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        24  <<<<<<<<<<<<<<,<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c2c3c
        24  <<<<<<<<<<<<<,<<  3c3c3c3c3c3c3c3c3c3c3c3c3c2c3c3c
        23  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        23  <<<<<<<<,<<<<<<<  3c3c3c3c3c3c3c3c2c3c3c3c3c3c3c3c
        23  <<<<<,<<<<<<<<<<  3c3c3c3c3c2c3c3c3c3c3c3c3c3c3c3c
# epoch 1150  H=7.5050 C=6.5905 HO=0.9145  A(t)=39
      1228  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        80  dddddddddddddddd  64646464646464646464646464646464
        65  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        44  ................  9f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9f
        38  <<<<<<<<<<<<<<<,  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c2c
        34  ,<<<<<<<<<<<<<<<  2c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        33  ................  b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
        33  <<<<<<<<<,<<<<<<  3c3c3c3c3c3c3c3c3c2c3c3c3c3c3c3c
        32  <<<<<<<<<<<<<<,<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c2c3c
        32  <<<<<<,<<<<<<<<<  3c3c3c3c3c3c2c3c3c3c3c3c3c3c3c3c
# epoch 1200  H=7.4304 C=6.5131 HO=0.9174  A(t)=46
      1731  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       171  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        64  dddddddddddddddd  64646464646464646464646464646464
        49  <<<<<<<<<<<<<<<,  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c2c
        49  <<<<<<<<<<<<,<<<  3c3c3c3c3c3c3c3c3c3c3c3c2c3c3c3c
        47  <<<<<<<<<<<<<<,<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c2c3c
        47  <<<,<<<<<<<<<<<<  3c3c3c2c3c3c3c3c3c3c3c3c3c3c3c3c
        46  <<<<<<<<<<<<<,<<  3c3c3c3c3c3c3c3c3c3c3c3c3c2c3c3c
        46  <<<<<,<<<<<<<<<<  3c3c3c3c3c2c3c3c3c3c3c3c3c3c3c3c
        45  <<<<<<<<<<<,<<<<  3c3c3c3c3c3c3c3c3c3c3c2c3c3c3c3c
# epoch 1250  H=7.3568 C=6.4261 HO=0.9306  A(t)=52
      1926  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       135  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        82  dddddddddddddddd  64646464646464646464646464646464
        47  <<<<<<<<<<<<<<<,  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c2c
        47  <<<<<<<<<<<<<<,<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c2c3c
        45  <<<<<<<<<<<<,<<<  3c3c3c3c3c3c3c3c3c3c3c3c2c3c3c3c
        44  <<<<<<<<<<<<<,<<  3c3c3c3c3c3c3c3c3c3c3c3c3c2c3c3c
        42  ,<<<<<<<<<<<<<<<  2c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        41  <<<<<<<<<<,<<<<<  3c3c3c3c3c3c3c3c3c3c2c3c3c3c3c3c
        41  <,<<<<<<<<<<<<<<  3c2c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
# epoch 1300  H=7.2157 C=6.2850 HO=0.9307  A(t)=58
      1558  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       174  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        82  dddddddddddddddd  64646464646464646464646464646464
        64  <<<<<<<<<<<<<<<,  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c2c
        63  <<<<<<<<<<<<<<,<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c2c3c
        63  ,<<<<<<<<<<<<<<<  2c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        61  <<<,<<<<<<<<<<<<  3c3c3c2c3c3c3c3c3c3c3c3c3c3c3c3c
        61  <<,<<<<<<<<<<<<<  3c3c2c3c3c3c3c3c3c3c3c3c3c3c3c3c
        60  <,<<<<<<<<<<<<<<  3c2c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        59  <<<<<<<<<<<<<,<<  3c3c3c3c3c3c3c3c3c3c3c3c3c2c3c3c
# epoch 1350  H=7.0975 C=6.1307 HO=0.9667  A(t)=76
      2911  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       146  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        82  dddddddddddddddd  64646464646464646464646464646464
        71  <<<<<<<<<<<<<<<,  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c2c
        68  <<<<<<,<<<<<<<<<  3c3c3c3c3c3c2c3c3c3c3c3c3c3c3c3c
