# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
       101  ................  f8f8f8f8f8f8f8f8f8f8f8f8f8f8f8f8
        98  ................  8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d
# epoch 3500  H=7.8098 C=7.6147 HO=0.1290  A(t)=297
       652  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       603  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       313  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       149  ................  d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5
       134  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
       124  ................  12121212121212121212121212121212
       118  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       106  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        97  ................  00000000000000000000000000000000
        93  ))))))))))))))))  29292929292929292929292929292929
# epoch 3750  H=7.8092 C=7.6140 HO=0.1286  A(t)=301
       661  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       470  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       402  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       221  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       186  ................  ffffffffffffffffffffffffffffffff
       136  0000000000000000  30303030303030303030303030303030
       132  ................  01010101010101010101010101010101
        99  {{{{{{{{{{{{{{{{  7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b
        95  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
        91  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
# epoch 4000  H=7.8051 C=7.5930 HO=0.1480  A(t)=301
       703  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       472  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       388  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
