# epoch 0  H=7.9973 C=8.0032 HO=-0.0032  A(t)=0
        14  >>>>>>>>>>>>>>>,  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e2c
        14  ,>>>>>>>>>>>>>>>  2c3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        12  %%%%%%%%%%%%%%%%  25252525252525252525252525252525
        11  >>>>>>>,>>>>>>>>  3e3e3e3e3e3e3e2c3e3e3e3e3e3e3e3e
        10  >>>>>>>>>>>>>>,>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e2c3e
# epoch 6500  H=6.7531 C=6.4178 HO=0.4747  A(t)=11
      1555  ................  01010101010101010101010101010101
       422  ................  00000000000000000000000000000000
       163  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       127  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       120  QQQQQQQQQQQQQQQQ  51515151515151515151515151515151
        61  ................  a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
        21  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        16  ...............,  0101010101010101010101010101012c
        13  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        12  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
# epoch 6750  H=6.7086 C=6.4381 HO=0.4078  A(t)=12
      1697  ................  01010101010101010101010101010101
       574  ................  00000000000000000000000000000000
        62  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        21  ................  a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
        18  ................  d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
        18  ...............,  0101010101010101010101010101012c
        11  ................  02010101010101010101010101010101
         8  ................  01010101010101020201010101010101
         8  ................  01010101010101010101010101010102
         7  ................  01010101010102020101010101010101
# epoch 7000  H=6.6337 C=6.3884 HO=0.3692  A(t)=12
      2256  ................  01010101010101010101010101010101
       541  ................  00000000000000000000000000000000
        33  4444444444444444  34343434343434343434343434343434
        27  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        20  ****************  2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a
        18  ...............,  0101010101010101010101010101012c
        16  >...............  3e010101010101010101010101010101
        13  .>..............  013e0101010101010101010101010101
        12  ..>.............  01013e01010101010101010101010101
        12  .............>..  010101010101010101010101013e0101
# epoch 7250  H=6.6053 C=6.3763 HO=0.3597  A(t)=16
      2340  ................  01010101010101010101010101010101
       563  ................  00000000000000000000000000000000
        31  ................  f8f8f8f8f8f8f8f8f8f8f8f8f8f8f8f8
        21  ...............,  0101010101010101010101010101012c
        12  ..............,.  01010101010101010101010101012c01
        10  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        10  ................  02010101010101010101010101010101
         9  ............,...  0101010101010101010101012c010101
         9  .............,..  010101010101010101010101012c0101
         8  >...............  3e010101010101010101010101010101
# epoch 7500  H=6.6135 C=6.3940 HO=0.3443  A(t)=20
      2135  ................  01010101010101010101010101010101
       758  ................  00000000000000000000000000000000
        16  ...............,  0101010101010101010101010101012c
        13  ................  03030303030303030303030303030303
        13  ................  02020202020202020202020202020202
        10  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
         7  ..............,.  01010101010101010101010101012c01
         7  ................  01010101010101010101010101010102
         5  .............,..  010101010101010101010101012c0101
         5  ................  01010101010101010101010101020101
# epoch 7750  H=6.6852 C=6.4978 HO=0.3170  A(t)=22
      1584  ................  01010101010101010101010101010101
       862  ................  00000000000000000000000000000000
        13  ...............,  0101010101010101010101010101012c
