# epoch 0  H=7.9973 C=8.0032 HO=-0.0059  A(t)=0
        31  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        25  <<<<<<<<<<<<<,<<  3c3c3c3c3c3c3c3c3c3c3c3c3c2c3c3c
        24  <<<<<<<<<<<<<<,<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c2c3c
        23  <<<<<<<<<<<<<<<,  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c2c
        23  <<,<<<<<<<<<<<<<  3c3c2c3c3c3c3c3c3c3c3c3c3c3c3c3c
        22  <<<<<<<<<<<<,<<<  3c3c3c3c3c3c3c3c3c3c3c3c2c3c3c3c
# epoch 750  H=7.6175 C=6.7065 HO=0.9110  A(t)=35
       714  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        83  ................  04040404040404040404040404040404
        36  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        35  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        32  ................  9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e
        28  ................  d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3
        28  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        25  <,<<<<<<<<<<<<<<  3c2c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        24  <<<<<<<<<<<<<<<,  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c2c
        24  ,<<<<<<<<<<<<<<<  2c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
# epoch 800  H=7.5388 C=6.5858 HO=0.9530  A(t)=40
      1008  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        57  ................  04040404040404040404040404040404
        52  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        52  <<<,<<<<<<<<<<<<  3c3c3c2c3c3c3c3c3c3c3c3c3c3c3c3c
        50  <<<<<,<<<<<<<<<<  3c3c3c3c3c2c3c3c3c3c3c3c3c3c3c3c
        50  <<<<,<<<<<<<<<<<  3c3c3c3c2c3c3c3c3c3c3c3c3c3c3c3c
        49  <<<<<<<,<<<<<<<<  3c3c3c3c3c3c3c2c3c3c3c3c3c3c3c3c
        49  <<<<<<,<<<<<<<<<  3c3c3c3c3c3c2c3c3c3c3c3c3c3c3c3c
        48  <<<<<<<<<<<<<,<<  3c3c3c3c3c3c3c3c3c3c3c3c3c2c3c3c
        48  <<<<<<<<<<<<,<<<  3c3c3c3c3c3c3c3c3c3c3c3c2c3c3c3c
# epoch 850  H=7.4690 C=6.4619 HO=1.0071  A(t)=53
      1871  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        50  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        45  <<<<<<<<<<<<<<<,  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c2c
        44  ................  04040404040404040404040404040404
        43  <<<<<<<<<<<<<<,<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c2c3c
        40  <<<<<<<<<<,<<<<<  3c3c3c3c3c3c3c3c3c3c2c3c3c3c3c3c
        40  ,<<<<<<<<<<<<<<<  2c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        39  <<<<<<<<<<<<<,<<  3c3c3c3c3c3c3c3c3c3c3c3c3c2c3c3c
        39  <<<<<<<<<<<,<<<<  3c3c3c3c3c3c3c3c3c3c3c2c3c3c3c3c
        39  <<<<<<<<<,<<<<<<  3c3c3c3c3c3c3c3c3c2c3c3c3c3c3c3c
