# epoch 0  H=7.9997 C=8.0025 HO=-0.0004  A(t)=0
        46  ................  01010101010101010101010101010101
        43  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        43  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        37  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        29  ................  7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f
        28  ................  b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9
# epoch 1100  H=7.9922 C=7.9172 HO=0.0724  A(t)=114
       219  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       108  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       103  ----------------  2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
        95  bbbbbbbbbbbbbbbb  62626262626262626262626262626262
        58  ................  19191919191919191919191919191919
        55  ................  00000000000000000000000000000000
        51  ................  95959595959595959595959595959595
        49  ................  fbfbfbfbfbfbfbfbfbfbfbfbfbfbfbfb
        45  ................  01010101010101010101010101010101
        43  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
# epoch 1150  H=7.9919 C=7.9132 HO=0.0767  A(t)=115
       235  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        87  bbbbbbbbbbbbbbbb  62626262626262626262626262626262
        86  ----------------  2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
        68  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        64  aaaaaaaaaaaaaaaa  61616161616161616161616161616161
        51  ................  00000000000000000000000000000000
        48  ................  19191919191919191919191919191919
        46  uuuuuuuuuuuuuuuu  75757575757575757575757575757575
        40  EEEEEEEEEEEEEEEE  45454545454545454545454545454545
        36  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
# epoch 1200  H=7.9920 C=7.9116 HO=0.0769  A(t)=119
       156  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        81  bbbbbbbbbbbbbbbb  62626262626262626262626262626262
        70  ----------------  2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
        66  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        64  aaaaaaaaaaaaaaaa  61616161616161616161616161616161
        58  uuuuuuuuuuuuuuuu  75757575757575757575757575757575
        52  ................  00000000000000000000000000000000
        47  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
        44  ................  19191919191919191919191919191919
        38  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
# epoch 1250  H=7.9916 C=7.9088 HO=0.0771  A(t)=120
       150  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        82  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        82  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
        73  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        58  uuuuuuuuuuuuuuuu  75757575757575757575757575757575
