# epoch 0  H=7.9971 C=8.0032 HO=-0.0034  A(t)=0
       163  ................  1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a
        63  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        54  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        52  rrrrrrrrrrrrrrrr  72727272727272727272727272727272
        49  ................  fefefefefefefefefefefefefefefefe
        46  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
        44  pppppppppppppppp  70707070707070707070707070707070
        40  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
        40  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        38  ................  f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5
# epoch 480  H=7.9579 C=7.5172 HO=0.3932  A(t)=58
       159  ................  1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a
       135  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        74  BBBBBBBBBBBBBBBB  42424242424242424242424242424242
        55  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        49  ................  fefefefefefefefefefefefefefefefe
        45  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        40  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
        38  pppppppppppppppp  70707070707070707070707070707070
        37  rrrrrrrrrrrrrrrr  72727272727272727272727272727272
        37  OOOOOOOOOOOOOOOO  4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f
# epoch 500  H=7.9562 C=7.5151 HO=0.3879  A(t)=62
       157  ................  1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a
       130  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       115  BBBBBBBBBBBBBBBB  42424242424242424242424242424242
        55  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        49  ................  05050505050505050505050505050505
        45  ................  fefefefefefefefefefefefefefefefe
        37  rrrrrrrrrrrrrrrr  72727272727272727272727272727272
        37  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
        36  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        34  pppppppppppppppp  70707070707070707070707070707070
# epoch 520  H=7.9546 C=7.5054 HO=0.4044  A(t)=64
       145  ................  1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a
       134  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        78  BBBBBBBBBBBBBBBB  42424242424242424242424242424242
        47  ................  05050505050505050505050505050505
        44  ................  fefefefefefefefefefefefefefefefe
        41  ................  c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4
        37  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        36  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        36  ................  04040404040404040404040404040404
        34  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
# epoch 540  H=7.9500 C=7.5057 HO=0.4045  A(t)=66
       222  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
