# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
       189  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       155  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        91  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
        83  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        76  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        72  ................  ffffffffffffffffffffffffffffffff
        59  ................  97979797979797979797979797979797
        52  BBBBBBBBBBBBBBBB  42424242424242424242424242424242
        49  KKKKKKKKKKKKKKKK  4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b
        48  ................  d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
# epoch 4750  H=7.9839 C=7.9040 HO=0.0591  A(t)=244
       128  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       126  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       105  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        77  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        73  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        56  ................  ffffffffffffffffffffffffffffffff
        48  ................  08080808080808080808080808080808
        47  EEEEEEEEEEEEEEEE  45454545454545454545454545454545
        45  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        43  ................  e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
# epoch 5000  H=7.9832 C=7.9005 HO=0.0606  A(t)=248
       176  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       129  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       122  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       105  ................  dcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdc
        85  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        60  YYYYYYYYYYYYYYYY  59595959595959595959595959595959
        49  ................  e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5
        49  ................  14141414141414141414141414141414
        48  mmmmmmmmmmmmmmmm  6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d
        48  ................  08080808080808080808080808080808
# epoch 5250  H=7.9830 C=7.9007 HO=0.0614  A(t)=248
       207  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       116  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        85  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        81  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        74  0000000000000000  30303030303030303030303030303030
        73  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        56  ................  01010101010101010101010101010101
        55  9999999999999999  39393939393939393939393939393939
        47  ................  0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c
        38  ................  e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2
# epoch 5500  H=7.9828 C=7.9015 HO=0.0610  A(t)=248
       171  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       139  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       117  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        96  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        93  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        70  ################  23232323232323232323232323232323
        61  ................  c9c9c9c9c9c9c9c9c9c9c9c9c9c9c9c9
        49  ................  f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0
        41  ................  ecececececececececececececececec
        41  ................  dcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdc
