# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
      1649  ................  01010101010101010101010101010101
      1428  ................  ffffffffffffffffffffffffffffffff
       432  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       427  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       391  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       344  ................  fefefefefefefefefefefefefefefefe
       291  {{{{{{{{{{{{{{{{  7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b
# epoch 5500  H=5.9527 C=5.8889 HO=0.2032  A(t)=349
      2119  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      2049  ................  00000000000000000000000000000000
      1532  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
      1407  ................  ffffffffffffffffffffffffffffffff
      1251  ................  01010101010101010101010101010101
       448  ................  02020202020202020202020202020202
       355  ................  fefefefefefefefefefefefefefefefe
       327  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       305  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       266  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
# epoch 5750  H=6.1266 C=6.1303 HO=0.1341  A(t)=540
      1900  ................  00000000000000000000000000000000
      1685  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1444  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
      1318  ................  01010101010101010101010101010101
      1282  ................  ffffffffffffffffffffffffffffffff
       506  ................  02020202020202020202020202020202
       409  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       393  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       357  ................  fefefefefefefefefefefefefefefefe
       326  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
# epoch 6000  H=6.3045 C=6.3299 HO=0.1119  A(t)=837
      1368  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1277  ................  00000000000000000000000000000000
      1110  ................  01010101010101010101010101010101
      1051  ................  ffffffffffffffffffffffffffffffff
      1009  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
       831  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       367  ................  02020202020202020202020202020202
       317  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       281  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       230  ................  03030303030303030303030303030303
# epoch 6250  H=6.4482 C=6.4808 HO=0.1038  A(t)=861
      1316  ................  00000000000000000000000000000000
      1215  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
      1028  ................  ffffffffffffffffffffffffffffffff
      1009  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       677  ................  01010101010101010101010101010101
       613  ................  fefefefefefefefefefefefefefefefe
       608  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       471  ................  02020202020202020202020202020202
       287  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       274  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
# epoch 6500  H=6.5712 C=6.6029 HO=0.1035  A(t)=864
      1242  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
      1231  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       995  ................  ffffffffffffffffffffffffffffffff
       940  ................  00000000000000000000000000000000
       563  ................  01010101010101010101010101010101
       376  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       322  ................  fdfdfdfdfdfdfdfdfdfdfdfdfdfdfdfd
       238  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       237  ................  02020202020202020202020202020202
       231  ~~~~~~~~~~~~~~~~  7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e
# epoch 6750  H=6.6881 C=6.6983 HO=0.1129  A(t)=867
      1474  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
      1039  ................  00000000000000000000000000000000
       962  ................  01010101010101010101010101010101
       927  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       703  ................  ffffffffffffffffffffffffffffffff
       430  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       422  ................  fefefefefefefefefefefefefefefefe
       361  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       335  ~~~~~~~~~~~~~~~~  7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e
       307  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
# epoch 7000  H=6.7933 C=6.7833 HO=0.1162  A(t)=869
      1363  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
      1108  ................  00000000000000000000000000000000
       745  ................  ffffffffffffffffffffffffffffffff
       554  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       510  ................  01010101010101010101010101010101
       359  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       256  ................  fefefefefefefefefefefefefefefefe
       218  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       205  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       199  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
# epoch 7250  H=6.8812 C=6.8549 HO=0.1203  A(t)=875
      1245  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
       902  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       756  ................  00000000000000000000000000000000
       700  ................  ffffffffffffffffffffffffffffffff
       546  ................  01010101010101010101010101010101
       376  ||||||||||||||||  7c7c7c7c7c7c7c7c7c7c7c7c7c7c7c7c
       338  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       298  ................  02020202020202020202020202020202
       293  ................  fdfdfdfdfdfdfdfdfdfdfdfdfdfdfdfd
       253  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
# epoch 7500  H=6.9699 C=6.9170 HO=0.1285  A(t)=881
      1366  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
       889  ................  ffffffffffffffffffffffffffffffff
       751  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       719  ................  01010101010101010101010101010101
       445  ................  00000000000000000000000000000000
       364  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       289  ................  fdfdfdfdfdfdfdfdfdfdfdfdfdfdfdfd
