# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
       852  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       681  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       582  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       540  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       487  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       404  {{{{{{{{{{{{{{{{  7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b
       331  7777777777777777  37373737373737373737373737373737
       317  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       311  9999999999999999  39393939393939393939393939393939
# epoch 4750  H=7.5943 C=7.2877 HO=0.2462  A(t)=343
      1283  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       934  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       691  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       547  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       511  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       490  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       289  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       289  8888888888888888  38383838383838383838383838383838
       260  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       236  9999999999999999  39393939393939393939393939393939
# epoch 5000  H=7.5928 C=7.3018 HO=0.2332  A(t)=343
       899  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
