# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
       539  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       240  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       234  ................  ffffffffffffffffffffffffffffffff
       223  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       190  ................  02020202020202020202020202020202
       173  ................  fefefefefefefefefefefefefefefefe
       143  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       104  aaaaaaaaaaaaaaaa  61616161616161616161616161616161
       103  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
# epoch 4250  H=7.7820 C=7.5556 HO=0.1555  A(t)=310
       712  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       555  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       398  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       288  ................  01010101010101010101010101010101
       214  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       120  ................  02020202020202020202020202020202
       119  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       115  ................  fdfdfdfdfdfdfdfdfdfdfdfdfdfdfdfd
       111  ................  c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3
       111  7777777777777777  37373737373737373737373737373737
# epoch 4500  H=7.7781 C=7.5581 HO=0.1511  A(t)=310
       683  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       541  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       370  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       243  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       162  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       140  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       137  2222222222222222  32323232323232323232323232323232
       134  ................  01010101010101010101010101010101
       131  ................  fbfbfbfbfbfbfbfbfbfbfbfbfbfbfbfb
       125  ................  ffffffffffffffffffffffffffffffff
# epoch 4750  H=7.7740 C=7.5460 HO=0.1593  A(t)=311
       679  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       585  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       579  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       181  ................  ffffffffffffffffffffffffffffffff
       172  ................  01010101010101010101010101010101
       153  5555555555555555  35353535353535353535353535353535
       140  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       115  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       112  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       109  ................  80808080808080808080808080808080
# epoch 5000  H=7.7686 C=7.5429 HO=0.1557  A(t)=311
       729  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       567  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       253  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       217  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       184  3333333333333333  33333333333333333333333333333333
       153  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       152  6666666666666666  36363636363636363636363636363636
       139  ................  01010101010101010101010101010101
       129  ................  03030303030303030303030303030303
       106  ________________  5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f
# epoch 5250  H=7.7728 C=7.5554 HO=0.1531  A(t)=311
       558  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       549  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       481  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       251  ................  01010101010101010101010101010101
       186  ................  03030303030303030303030303030303
       175  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       137  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       135  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
       118  ++++++++++++++++  2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b
       116  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
# epoch 5500  H=7.7711 C=7.5562 HO=0.1504  A(t)=312
       990  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       712  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       570  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       283  ................  01010101010101010101010101010101
       190  ................  ffffffffffffffffffffffffffffffff
       177  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       135  LLLLLLLLLLLLLLLL  4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c
       130  ................  09090909090909090909090909090909
       128  ................  04040404040404040404040404040404
       114  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
# epoch 5750  H=7.7723 C=7.5614 HO=0.1494  A(t)=312
       643  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       552  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       345  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       175  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       126  ((((((((((((((((  28282828282828282828282828282828
       117  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       114  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       108  ****************  2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a
       100  ................  03030303030303030303030303030303
        99  ................  80808080808080808080808080808080
# epoch 6000  H=7.7710 C=7.5515 HO=0.1546  A(t)=312
       799  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       639  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       367  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       222  ................  01010101010101010101010101010101
       165  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       165  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       128  ................  02020202020202020202020202020202
       106  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       103  ****************  2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a
        99  ................  ecececececececececececececececec
# epoch 6250  H=7.7691 C=7.5473 HO=0.1564  A(t)=312
       611  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       594  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       331  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       247  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       171  @@@@@@@@@@@@@@@@  40404040404040404040404040404040
       139  ................  81818181818181818181818181818181
       129  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       127  ................  fefefefefefefefefefefefefefefefe
       127  5555555555555555  35353535353535353535353535353535
       125  ................  01010101010101010101010101010101
# epoch 6500  H=7.7701 C=7.5665 HO=0.1376  A(t)=312
       592  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       480  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       405  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       211  ................  0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b
       159  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       147  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       140  ................  01010101010101010101010101010101
       138  ................  03030303030303030303030303030303
       104  ................  ffffffffffffffffffffffffffffffff
       102  SSSSSSSSSSSSSSSS  53535353535353535353535353535353
# epoch 6750  H=7.7651 C=7.5509 HO=0.1512  A(t)=312
       681  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       636  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       217  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       195  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       177  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       159  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
       158  ................  fcfcfcfcfcfcfcfcfcfcfcfcfcfcfcfc
       116  ................  83838383838383838383838383838383
       111  ****************  2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a
       110  aaaaaaaaaaaaaaaa  61616161616161616161616161616161
