# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
       103  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
# epoch 3500  H=7.8011 C=7.5882 HO=0.1473  A(t)=307
       707  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       647  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       293  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       241  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       132  ................  02020202020202020202020202020202
       118  ................  f1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f1
       102  ****************  2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a
       101  ................  01010101010101010101010101010101
        95  ................  9d9d9d9d9d9d9d9d9d9d9d9d9d9d9d9d
        95  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
# epoch 3750  H=7.7941 C=7.5790 HO=0.1451  A(t)=308
       656  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       653  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       375  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       135  ................  01010101010101010101010101010101
       128  ################  23232323232323232323232323232323
       126  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       110  ````````````````  60606060606060606060606060606060
       104  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
        95  ................  ffffffffffffffffffffffffffffffff
        94  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
# epoch 4000  H=7.7873 C=7.5667 HO=0.1551  A(t)=309
       719  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       646  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       382  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       271  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       239  ................  ffffffffffffffffffffffffffffffff
       157  !!!!!!!!!!!!!!!!  21212121212121212121212121212121
       147  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       144  ................  02020202020202020202020202020202
       143  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       137  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
# epoch 4250  H=7.7807 C=7.5591 HO=0.1557  A(t)=309
       668  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       605  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       397  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       305  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       295  ................  01010101010101010101010101010101
       226  ................  ffffffffffffffffffffffffffffffff
       184  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       129  oooooooooooooooo  6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f
       129  ))))))))))))))))  29292929292929292929292929292929
       110  &&&&&&&&&&&&&&&&  26262626262626262626262626262626
# epoch 4500  H=7.7764 C=7.5560 HO=0.1568  A(t)=310
       751  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       736  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       464  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       157  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       135  ................  efefefefefefefefefefefefefefefef
       125  ................  fefefefefefefefefefefefefefefefe
       118  ................  01010101010101010101010101010101
       114  ................  f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6
       108  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
        97  ................  e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
# epoch 4750  H=7.7765 C=7.5568 HO=0.1521  A(t)=310
       846  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       732  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       349  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       248  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       175  ))))))))))))))))  29292929292929292929292929292929
       169  @@@@@@@@@@@@@@@@  40404040404040404040404040404040
       156  ................  01010101010101010101010101010101
       135  8888888888888888  38383838383838383838383838383838
       130  ................  ffffffffffffffffffffffffffffffff
       122  ................  fdfdfdfdfdfdfdfdfdfdfdfdfdfdfdfd
# epoch 5000  H=7.7775 C=7.5584 HO=0.1551  A(t)=311
       827  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       672  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       619  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       255  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       225  ................  01010101010101010101010101010101
       163  ****************  2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a
       129  ''''''''''''''''  27272727272727272727272727272727
       116  aaaaaaaaaaaaaaaa  61616161616161616161616161616161
       112  &&&&&&&&&&&&&&&&  26262626262626262626262626262626
        99  RRRRRRRRRRRRRRRR  52525252525252525252525252525252
